"person","text"
"(Interviewer:","Andrea L'Hommedieu) May 22, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. The date is May 22nd, 2006. I’m at the Maine Heritage Weavers at 41 Chestnut Street in Lewiston, interviewing Dot McAtee. And if you could start just by spelling your full name, saying and spelling it? Dot McAtee: Dot, D-O-T, McAtee, M-C-A-T-E-E."
"AL:","And where and when were you born?"
"DM:","I was born in Lewiston, 6/4/54."
"AL:","And what part of Lewiston did you grow up in?"
"DM:","Actually I was born in Lewiston because the hospital is here, but I lived in Auburn, I’m from Auburn originally."
"AL:","And what part of Auburn did you grow up in?"
"DM:","Down off the Poland Road, Washington Street area. Yeah, down that way."
"AL:","Was that, I mean it’s fairly rural today, was it much more so at that time?"
"DM:","Yes, it still is. Oh yeah, well it’s grown up a lot now, because I was down there not too long ago and I noticed a few more buildings. But Pioneer Plastics was there at the time, GE was in the area, so, they had Maine Milling there, too. I’m not sure if that’s still there or not, but there wasn’t a whole lot of, it was pretty rural, yeah."
"AL:","And what age did you start working at the Bates Mill?"
"DM:","At Bates I started, see, my youngest just turned twenty eight, and he was six weeks old, so that’s when I started at Bates. And I had two other children at the time, but I started working third shift then. Because my ex husband decided to go to school full time, so it was an easy way to get a job and not have to worry about day care, and so, and it was an aunt of mine who had been at the mill for years, my godmother, who 1 got me into Bates Mill."
"AL:","Oh, wow. So at that time was it much easier to get into the mill if you knew somebody, or?"
"DM:","I think, there was just, the jobs were plentiful and the pay was good, because they were union. So compared to, because I didn’t have any college education, so as far as, because I got out of high school and got married and, you know, had kids, and so I didn’t have a whole lot of experience working. Although I had worked like in the heel factories when I was like sixteen, I did that part time."
"AL:","Oh, you did."
