"person","text"
"(Interviewer:","Andrea L 'Hommedieu) October 25, 2007 Andrea L'Hommedieu: This is an interview for the Brick Makers Oral History Project. The date is October 15th, 2007, and I am at the Museum L-A with Ralph Metayer, and this is Andrea L'Hommedieu. Now, could you start just by telling me a little bit about how you came to work at the brickyard? Ralph Metayer: Yes. Good afternoon, Andrea. Yes, I am Ralph Metayer. I was a neighbor to the Dennis Brickyard , whi~h, right across the field , in the five minutes, five minute walk or run, I'd be there. So, as a fourteen year old, I was hired as a sand boy, which was only a few hours per week. Also, when it got time to fire a kiln, they would line the kiln with two layers of broken bricks, bricks that hadn't been cooked enough or burned enough, and they were what they called light hard. All those were saved in a pile, and we had to, had to gather them up and line up that kiln. After that kiln was lined up with two layers of that brick, with a spacer, from the new brick, then there was, we made like an adobe, we got mud from, clay mud, with our hands, we'd plaster that whole kiln, like an adobe."
"AL:","Right, and how tall would the kilns be?"
"RM:","The kilns would be, oh, like sixteen feet. Of course, there was a bench, what we call benches, there would be fire arches, where we'd feed the slabs of wood into those arches, which had a steel, cast iron cover and a cast iron arch, and the rest was made out of bricks. And there were two of those arches, for instance, would create a bench, what they called a bench, and there was about three, three feet off the ground, that was made out of old bricks, hard bricks and that would withstand the heat. Then they'd put the new brick, new manufactured brick, they'd start laying on top of that. Bricks are handled two at a time, which makes four bricks, and, and the people who were setting these kilns, they had a way of setting the kilns so that the draft, the hot draft has to go through these bricks to create an even, an even heat. So these, the bricks, as I say, are handled two by two, and when they are laid in a kiln, they, they become a block of four bricks, which in the middle of that, creates the face of the brick, and that's important because as the, as these bricks are burnt, there's a heart in those bricks, and that heart is created from the, from the chemicals in the wood. And in those days, they burned with wood slabs. Nowadays, I think it's done with oil, and oil doesn't create that-"
"AL:","The color?"
"RM:","The color effect. And those kilns were burnt, then the size of them was according to arches, some of them had twelve, fifteen , sixteen arches, but they were all the same, about the same height, and there was one, I cannot speak too much on that because I, one of the old pioneers, he'd be the, he'd be the head fireman. They'd start these fires slowly to get the vapor out of the bricks, because they're not thoroughly dried, there's still moisture in them, so they'd fire them a couple of days, two to three days, moderate, with moderate heat, and that, then that's, after the, the steam is out of them, you can tell by the top, then they start firing hotter, for another eight to ten days, depending on the conditions of the weather and so forth . And then the top, the head fireman , as the kiln was on its, like half burnt, they'd have to go up and walk up there on top, and close up some of the dampers, they also put bricks on top as well as the sides. And there was, they controlled the draft, because the heat goes for heat. So, if one part of the kiln was drawing all the heat, then those bricks become black, they're overdone, and they try to prevent that. So the head fireman would try to close these dampers on top, made out of bricks, just keep tossing the bricks over, so that the draft would pull the draft more even, because heat draws heat, and it's a, it's a trade in itself to control that, you know, so they could have an even burn, otherwise they have to stop, they can only burn it for so long, part of the kiln would be over burnt, real dark brick, and which is not, there's not a big demand for that. Then the rest of it would be light hard, what they'd call light hard, like an orange brick, and that brick is only sold for interior, it's no good for exterior because it absorbs too much water, and with the frost in the winter, it will just flake off. So, so that was the extent of that. So I'd work at that as a, as a kid while going to school."
"AL:","Well now, tell me what a sand boy is."
"RM:","All right, now a sand boy is a, is part of the, of course these are clay yards, nice clay yards, I'm just guessing at the land, but there were about say one hundred twenty feet long and as wide as, as they could have it. A sand boy would dry out, would spread his sand to have a dry sand, because he had a saucer, what is a screen saucer, and he'd put, we'd put some on the yard, because as these bricks are made, as the, as they dump these bricks from the molds, the sand prevents the bricks from cracking . They cannot dry too quick, or they just separate and crack. They also put some on top of the brick after the brick makers had, had dumped them, you know. So that was the, and then, of course, they had, have to keep a little supply of dry sand in the shed, a small shed, you know."
"AL:","And I forgot to ask you what your date of birth is."
"RM:","Okay, my date of birth is, I'm seventy three years old, I was born in 1934, July 11th."
"AL:","So, it was 1948 when you first worked as a sand boy?"
