"person","text"
"(Interviewer:","Andrea L'Fiommedieu) September 3, 2008 Andrea L'Hommedieu: This is an interview for the Brickyard Workers Oral History Project. The date is September 3rd, 2008, and I'm at the home of Jeannette and Richard Morehauser. And I saw on my list your name was Dennis-Morehauser, hyphenated, is that how you use it or you just put that because Dennis Brickyard is on my list? Jeannette Mor;hauser: That's my maiden name, so I just use Jeannette Morehauser now."
"AL:","Okay, and where and when were you born?"
"JM:","I was born in Auburn, at home. We all, all the children at home, you know, in my family, were born in home, excepting the youngest daughter, and she's fourteen years younger than I am."
"AL:","And what is your date of birth?"
"JM:","5/7/31, May 7, '31 ."
"AL:","In what part of Auburn did you live, in the area where we are today?"
"JM:","No, well yes, right on the Brickyard Circle, exactly where the, in front of the brickyard . The brickyard was way in the back of the house."
"AL:","And where was it located?"
"JM:","It was located at 23 Brickyard Circle. At the time it was known as Old Washington Road, because-"
"AL:","Is that where Washington Street is?"
"JM:","Yes. You know where Crystal Spring is? It's directly, it's behind that, yeah, on the old road ."
"AL:","And so when you grew up, there was a lot of brick making happening around you?"
"JM:","Oh yes, all the time."
"AL:","Tell me about your experiences growing up, being near the brickyard. JM : Oh, well we were young, and I do know that when my grandfather first started the brickyard it was known as Joseph F. Dennis Company, and then later on it was changed to Dennis Brick Company."
"AL:","And so you have memories of your grandfather?"
"JM:","Oh yes."
"AL:","Can you talk about -?"
"JM:","He was a nice, he was a small man. He was very nice and warm. But we, when my sister Pauline, you've met her, Pauline Turcotte, we used to go down when we were younger- she's two years younger than I am - and we used to go down the brickyard a lot. And especially when they were burning a kiln, which was night and day. And even during the day we used to go and watch the men work, you know. And they had the water struck and the wire cut."
"AL:","So they made both kinds."
"JM:","Yes. And the wire cut, they had the antique, which this is, this fireplace is antique brick, and then they had another kind that they used to make from the wire cut, and they called it the tapestry bricks I think and , you know, they had little lines through it, up and down."
"AL:","I've never heard of those."
"JM:","Yeah, so they didn't make as much of those, but they did. And earlier on I know that they used to furnish the streets of Boston for pavement, for sidewalks and, you know, little side ways, little streets. That's in the early days, because I was told that when I was younger and I always remembered it."
"AL:","And today we're at 174 Sunderland Drive in Auburn, and this fireplace that's sitting in front of us was made from Dennis bricks."
