"person","text"
"(Interviewer:","Andrea L 'Hommedieu) September 5, 2007 Andrea L'Hommedieu: This is an interview for the Brick Makers Oral History Project. The date is September 5th, 2007, we are at the Museum L-A in Lewiston, Maine, and today I have with me Bert Morin and John, and this is Andrea L'Hommedieu. Bert, could you start just by giving me your full name? Bert Morin: Ethelbert William Morin, Junior."
"AL:","And where and were you born?"
"BM:","Nineteen thirty two, in Danville, April 21st."
"AL:","And, go ahead."
"BM:","In what they call the old homestead."
"AL:","Was that the Morin Homestead?"
"BM:","The Morin Homestead, yes."
"AL:","Is that where you grew up?"
"BM:","Basically, that's where we started to grow up. We were only there several years, and they moved but always lived in Danville, different locations."
"AL:","What did your parents do for work?"
"BM:","My father worked at the brickyard and my mother was a homemaker."
"AL:","How many brothers and sisters did you have?"
"BM:","One sister, Annette, she was three years older than I, lived in the same, the same place as I did for the first several years at the old homestead. Then we moved out of Danville in '30, the late '30s, and moved to Auburn, which was at the time, was part of Danville, or Danville was part of Auburn, about the turn, the turn of when they divided."
"AL:","John, could you give me your full name?"
"JM:","John Baptist Morin ."
"AL:","Where and when were you born?"
"JM:","I was born in 1936, in Lewiston, Sabattus really, right in my mother's, my mother's mother and father's home, that's where I was born."
"AL:","Did you grow up in that area? JM : No, I was born in, I mean brought up in Danville, right near the brickyard, Danville itself. Then from there we moved to Washington Street and, which wasn't that far from the brickyard. I'm still there, yeah."
"AL:","So did your father work at the brickyard as well? JM : Oh yeah, oh yeah. He was, both of them, his father and my father, both were part owner of the company, along with other brothers and sister."
"AL:","Now, how many brothers were there?"
"BM:","Eight."
"JM:","Eight and one-."
"BM:","Eight brothers and one sister."
"JM:","And one sister. They were all in the fam-, all, it was a family organization."
"AL:","Had, had the brothers' father owned it before that?"
"JM:","Yes, yeah."
"BM:","He, he started it."
"JM:","He started the business, yeah, and then all the boys went and worked in it. In the Depression time, it was pretty rough for them, and they all worked in the yard to keep it going. This is how come it grew, kept growing."
"AL:","So tell me about when you all got involved. Was it a part of your life forever, being around the brickyards?"
"BM:","Well, I think it was supposed to be. No, we started at an early age when we were in school actually, in grammar school, and doing little odd jobs that, you know, were the easy ones and working up to, of course, business practices as we went along. But we both got to the point that we went on our own for a while, and sooner or later we ended up back there because it was family, the family business to begin with and has been since."
"JM:","At nine years old, I started sanding bricks. I had a job, that was when I was not going to school, that is summer vacations."
"BM:","Yeah, vacations."
"JM:","It really wasn 't a vacation, you still had to work. But they started , we both started when we were just kids. We had a job."
"AL:","So did you learn pieces of the process, and then do more and more?"
"JM:","We just worked into it. The older you got, the harder you worked. And you did, you, you, you had to pull your weight. Just the way they did."
"AL:","Can you talk to me a little bit about what the different steps are in the process of brick making?"
"JM:","Boy, I mean we'd-."
"AL:","Or the pieces you remember?"
"JM:","Oh, we can remember it all."
"BM:","Well, there's a lot of processes in the beginning to the-."
