"person","text"
"(Interviewer:","Andrea L'Hommedieu) March 14, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History project. The date is March 14th, the year 2006. This is Andrea L’Hommedieu, and today I’m interviewing Lilliane Morin at her home on Lisbon Road in Lisbon, Maine. Could I start just by asking you to say your full name, including your maiden name? Lilliane Morin: My name is Lilliane Adelia Morin, Lilliane Bernier."
"AL:","And what’s your date of birth?"
"LM:","December 22nd, 1934."
"AL:","And did you grow up in the Lewiston area?"
"LM:","Yes, I been in Lewiston all my life until forty-five years ago we move over here, it’s going to be forty six now."
"AL:","And what was growing up in Lewiston like in the ‘40s and ‘50s?"
"LM:","Well, I think it’s a lot better than what’s going on today. Yeah, the life was simpler, you know, we didn’t have everything. We were, they were poor, they worked, and my mother remarried and they worked in the mill, also, both of them worked in a textile mill, the Hill Mill. And so we were not financially, you know, they were not financially, so but we made it all right, though. But I, before that, before she got remarried I stayed at the orphanage, St. Joseph, there? We call it Marcotte Home. I stayed there until I was almost thirteen, I was twelve years old when I left the orphanage, because they got married and, but they took us out, you know."
"AL:","So it was a matter of being able to afford to feed you?"
"LM:","Yeah, that’s right, that’s right."
"AL:","And how many brothers and sisters did you have?"
"LM:","I have one brother and one sister, and I’m the oldest one. And my, then my stepfather had two kids, a boy and a girl also. But they stayed just a little bit with us, and then after that they were taken care of by their mother, you know, so they lived there."
"AL:","Was the orphanage run by the nuns at that time?"
"LM:","Oh yes, yes, and sisters, I’m French, you know, so I don’t say my words correctly in English, Sister St. (name). Well, I cried when I heard she was going away. She had a stroke apparently, and I went to see her and I cried, I cried. And she remembered my name, Lilliane Bernier, you know, she didn’t forget me at all. I was so surprised, you know, and I loved her, she was like a mother to us over there."
"AL:","So they treated you well. 1"
"LM:","Oh yes, I mean, you know, it’s not home, it’s not everything you want as far as the food. Oh, some of the food, though, wasn’t great, you know. But it’s not the same thing as living at home. Some of the kids were going home on weekends, and I was there all the time because I was a State help, you know, had help from the State. So, and, so that’s the way it worked. But yet, I think, God, today, realizing what we went through, what the, you know, the way things were, that I was lucky to have a place like that to stay. And I wish there were something like that going on today, you know, for the kids that don’t have homes or anything like that, you know. It was strict, but it was, it was okay, you know, I was not punished too much. Except one time, I said some bad words and they took soap and a toothbrush, washed my tongue. And I got sick, too. Never forget that, (unintelligible phrase). But in all, it was a good place to be, you know, we were lucky."
"AL:","And so your mom and stepdad both worked in the Hill Mill?"
"LM:","Yes, they both worked in the Hill Mill."
"AL:","What did they do there?"
"LM:","My mother was in the spinning room, I know she worked in the spinning. And him, I don’t remember too much what he was doing. I heard about card room, I think, before. I never paid attention what he was doing, you know. But the Sirois family worked in the mill, all of them, I think, most of them all did work over there, you know, they were living in the Hill Blocks at the time, some of them were there. But us, we were 313 Lisbon Street. So, yeah, that’s, that was quite a thing, to think back, you know. We had some good memories, some bad memories, you know, the past, you know. But in all that time, I always teach my, I always tell my kids or my nieces and nephew, if they complain about their life, what they have today, well, I say, now your age, you’re the one who makes your life. It’s true, it’s not, you can’t blame the parents what they did wrong or right, you know. Especially what they did wrong, you don’t go by that. You have to make your own living, you know, you have to make your own life. And whatever you do, it’s up to you. That’s what I feel, you know, I feel like that, you know. That’s it on that part."
"AL:","And you lived on Lisbon Street, and so you were close to the downtown shopping area."
"LM:","Oh, yes."
"AL:","Tell me about that (unintelligible word)."
