"person","text"
"(Interviewer:","Andrea L. Hommedieu) January 23, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at the Museum L-A. The date is January 23, 2009, and I'm at the home of Rita Morin in Auburn , Maine, and this is Andrea L'Hommedieu. Rita could you start just by giving me your full name, which includes your maiden name. Rita Morin: Rita Pelletier Morin."
"AL:","Can you spell that?"
"RM:","P-E-L-L-E-T-1-E-R."
"AL:","And where were you born?"
"RM:","In Lewiston."
"AL:","And your date of birth?"
"RM:","January 29, 1919."
"AL:","Were your parents from Lewiston too?"
"RM:","No, they were from Canada."
"AL:","Okay."
"RM:","Both of them."
"AL:","So did they marry and then come to the U.S., or did they meet-?"
"RM:","They married in Maine. And they came from Canada to do like the others, find work and make a living out of it. He was working for the city, plowing roads at night, you know. In those days they didn't have the machines they have today. They done that with the horses."
"AL:","He plowed the roads with horses?"
"RM:","With horses, the sidewalks. The bottom part of Lewiston, Lincoln Street and all around there."
"AL:","Wow."
"RM:","Yeah, so that's something children cannot imagine unless they went somewheres and they had those equipment."
"AL:","Yeah. So did your dad do that for many years?"
"RM:","All his life. But as the time went by the horses went out, and back then the new machineries started. And I don't remember, he was not working on a truck or anything like that, just deliver, deliver work. He enjoyed his life."
"AL:","Did he ever talk about missing the horses once they were, once they got -?"
"RM:","Oh, that I wouldn't remember because I was too little. I was just four or five years then, well then I forget , but he didn't talk too much about that once he was out of there."
"AL:","And what did your mother do?"
"RM:","My mother stayed home to take care of the family."
"AL:","How many bothers and sisters do you have?"
"RM:","Five brothers and three sisters."
"AL:","So there were nine of you?"
"RM:","Yes. Nine plus them, that's eleven in all, which she had to do cooking in the morning and washing during the day, ironing, and taking care of the kids and cooking three meals a day. That was a lot of cooking to do."
"AL:","And where were you within the children? Were you older or younger?"
"RM:","The second."
"AL:","The second oldest?"
"RM:","Yes. I had a brother, which he works in the mill all his life. And the others were, I had brothers and sisters, the baby is a girl. Now I'm, just the girls are living, so we're still three girls. We lost one to, the boys are gone."
"AL:","But when you were growing up being one of the older children, you must have taken care of the younger ones to some -?"
"RM:","Oh yes, that I did. Especially when it came at the last one there, she was a little girl and we still go, we are going out together now, still, I'm glad in a way that I still have her."
"AL:","Yeah."
"RM:","Well, we have four children, though, so. My husband went to war and was in the battle of lwo Jima."
"AL:","He was?"
"RM:","Yes. He got wounded over there, and got out of there and they sent him back on his way to Japan when the war ended. So then it took another six months before he was released from that. And then, well life began together as a family, starting a family."
"AL:","Right. So you grew up in Lewiston. What schools did you go to?"
"RM:","St. Mary's. And I had to start working by the age of eleven, twelve."
"AL:","Oh, you started work then?"
"RM:","Not work, I didn't work, I work at the house helping my mother with the other little ones in back of me."
"AL:","Yeah."
"RM:","So that was an experience which helped me later on when I had my own children too, which was nice."
"AL:","Yeah. So at age eleven you were in the home helping your mom for several years?"
"RM:","Until I went to work."
