"person","text"
"(Interviewer:","Andrea L'Hommedieu) March 9, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History project. The date is March 9th, 2006. This is Andrea L’Hommedieu, and this afternoon I’m interviewing Noel Morrell at his home on King Avenue in Lewiston, Maine. Could you start just by saying your full name? Noel Morrell: Noel Richard Morrell."
"AL:","And when were you born?"
"NM:","December the 25th, 1928."
"AL:","A Christmas baby."
"NM:","Right."
"AL:","And where were you born?"
"NM:","In Waterville, Maine."
"AL:","Is that where you grew up?"
"NM:","No, I grew up here in Lewiston."
"AL:","Okay, your parents from Waterville, or where were they from?"
"NM:","Well, they were Aroostook County, and they moved here to Lewiston and Auburn. My grandfather was a paper and wallpaper hanger, so my mother and my father, actually it’s stepfather, were here also. I was brought up here, gone to school here."
"AL:","And what was Lewiston like at the time you were growing up in the ‘30s and ‘40s?"
"NM:","Oh, they had quite a few people from Canada, oh gee, they had trainloads come down on Lincoln. Lincoln Street, there’s a truck, you know, I don’t know how many people got off. They had housing on Canal Street, bkg apartment buildings. The only bad thing was they all had to share one bathroom. Oh yeah, on one floor. But they hired in, they come down, they were guaranteed a job. But here’s the thing, in my opinion, the company paid them and then they in turn had to pay the company back for the rent, so they didn’t lose anything. But it was nice, it had nice people, the people were very nice."
"AL:","Is that the area that you lived in?"
"NM:","No, I lived on Blake Street at one time, and then I moved onto Oak Street in Lewiston."
"AL:","And what did your parents do for work? 1"
"NM:","Well, my mother was working at the St. Mary’s hospital, in the nursing quarters. She was like a chambermaid, and for years she was there. I hate to say it, but she asked for a raise, I told her, I says, hey, you been working there over five or ten years, I forget what it was, I said, you’re entitled to a little extra, I believe. So they fired her. Oh yeah, the nuns were running it and so they said, I’m sorry, but you’re not worth it, and all this and that. She was a deaf mute and she only had one arm so she was handicapped, but they were good enough to hire her. But a doctor put in a word for her, Dr. Gaudreau, and that’s how come she was working there."
"AL:","So, now when did you go into the mill?"
"NM:","Oh, shoot, I got out in 1952, I must have went in there in 1952 and I, well, I was home on a sick leave and they called me up and says I was all done. But they were dismantling the mills, eventually they closed down. Two Chinese men -"
"AL:","The Tang brothers."
"NM:","Right, what they did when they bought it they were bleeding it, so the bled it all for what it was worth and then they closed the doors and that was it."
"AL:","And that was in the ‘90s?"
"NM:","Yeah, I think so, in the ‘90s."
"AL:","So you said you said you started working at the mill in 1952?"
"NM:","I got out in ‘52, yeah, I would say at least ‘52."
"AL:","And what did you do at the mill?"
"NM:","I was running an offset press, 11/15, that’s the measurement of the press, printing press. And Dick Ricker was my supervisor, I know, he was there, then also Lou Thompson, he’s gone now, but he had a heart problem, but he was in the one on Locust Street, then they transferred him up to where I am, and so I was working on Canal Street and he stayed with me and we worked for, oh, a few years, and then he passed on. Well, when they closed the mill he was out, I was out. But he retired before they closed the mill, so he was lucky. But to him it was an investment. In other words, he could draw Medicare, not Medicare, Social Security retirement so, you know, he didn’t lose anything, but he figured it was cheaper to do that rather than to work through. And then, you know, get bounced out or whatever like I did. But I don’t regret it, they treated me decent, Dick Ricker treated me decent. I got all of my holiday pay, I got my sick leave, vacation pay, two weeks I think. Well, wait a minute, I had three weeks, because the number of years, you had more vacation to you. I got that. But I was satisfied with it, at least, you know, it was better than nothing. So I got that and that was it."
"AL:","So tell me about your job, what did it involve?"
"NM:","I was printing forms, in plant printing forms. You know, different departments in the mill, the Bates Division now, not the one on Locust Street, had different forms you had to fill out, in the office they had different forms. Well, I reproduced, made reproductions, and a lot of times they come up with a new form, you could put that on a press. Oh yeah, big equipment."
"AL:","Now, Bates also put out publications, like The Spinner. Did you -?"
"NM:","No, I didn’t have anything to do with that. They went to Twin City Printery I think, or someplace else, I’m not sure where. But I just, strictly the forms is what we did, me and Lou Thompson. That was a 2 good number of years ago."
"AL:","Now, I understand over the years they had different social activities associated with the mill?"
"NM:","Oh yeah, they’d have a party, ten year awards for people that, employees that had been there at least ten years, you’d get an award, you’d get a small little pin. But at one time, though, they were giving out nice watches, but that was for thirty or forty years or something like that, it was a good number of years. Then they did away with that because they were closing down I guess, you know, the finances wasn’t coming in and so they didn’t want to lose out."
"AL:","I understand they had a hockey team, and -?"
"NM:","Yeah, Bates Mill had a hockey, right, you’re right. But they only had it for a few years and then they just disbanded because there wasn’t enough interest. But they had it on, next to St. Peter’s School, there was a yard there, it was open, open air more or less. Then they finally disbanded and that was it. And then they, we used to have a bowling league, the Bates Mill."
"AL:","Did you participate in that?"
"NM:","Oh yeah, I love bowling so, candlepin bowling on Canal Street, right on the corner there of Canal and what is it, next to the post office, the one on the post office street, well right on the corner there they had a bowling alley and everything. And we used to have a league going every year. We did it for a few years. Oh yeah, it was a lot of fun."
"AL:","Did you get to meet people that worked at the mill that you didn’t really work with day to day?"
"NM:","No, yeah, the people on the bowling team were people that worked in the mill but in different departments, so we didn’t know who they were, you know, somebody just signed up and then at the end of the year you’d have a banquet and then you’d have a trophy, you know. They spent the money that we drew in, we paid, you paid so much for a string and so much for the membership, you know, and at the end of the year everybody was awarded a prize. It was good."
"AL:","You mentioned Dick Ricker that you worked with, and Lou Thompson."
"NM:","Right, Lou Thompson and I were employees. Dick Ricker was a supervisor."
"AL:","Right, right. Were there others that you worked with at the mill?"
"NM:","Lebel, he was a short little man. He was a tremendous football player in high school. He became president, and then president, I guess he was still president when they disbanded the mill."
"AL:","Fred Lebel?"
"NM:","Fred Lebel. He could really run, and he was hard to stop. I can remember seeing him when he was back in high school, and after that he got promoted and promoted and eventually, oh yeah. He offered me a job as a supervisor in one of the mills on, the Bleachery Mill. I don’t know what it was, but I said, no, I didn’t want to take because I, you know, I have an idea (unintelligible phrase) and I wouldn’t like it. I liked printing and I liked what I was doing."
"AL:","So did the office in New York ever contact you for -?"
