"person","text"
"(Interviewer:","Andrea L 'Hommedieu) April 2, 2010 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at the Museum L-A. The date is April 2nd, 2010, this is Andrea L'Hommedieu and today I'm interviewing Jerry Poulin in Auburn , Maine. Jerry, could you start just by saying your full name? Jerry Poulin: Well, my real name is Richard but nobody knows me as Richard, it's Jerry, everybody knows me as Jerry Poulin."
"AL:","Is that with a G or a J?"
"JP:","With a J."
"AL:","J-E-R-R-Y."
"JP:","Right, and also, I've been in the shoe industry for thirty-five years."
"AL:","Thirty-five. What's your date of birth?"
"JP:","7/20/37"
"AL:","And were you born in the Lewiston-Auburn area?"
"JP:","Yes."
"AL:","And did you grow up here?"
"JP:","Yes."
"AL:","Can you talk about what the Lewiston-Auburn area was like in the forties and the fifties, when you were growing up?"
"JP:","In the forties actually, we were just coming out of the war so things were still very hard, because all the servicemen were coming home, they needed jobs, just like anybody else. Needed housing . So it was more or less difficult time, but we managed through. And it was like a wake-up call for us, shall we say, I feel. Then in the fifties, that's when I went to work. I think it was 1952 is when I went to work for Mr. Koss."
"AL:","That would have been at like age fifteen?"
"JP:","Sixteen, I had just, well I had a couple of weeks in there but, you 're right, and I stayed , I was the last man when they locked the door. I don't know if was twenty-two years, must have been twenty years, because it was 1972, if I remember right, when Koss Shoe, manufacturing stopped , and the old man wouldn 't let me go. I sat in that factory, empty, that's the Barker Mill, right here in Auburn , that was Koss Shoe. But we used to be on Hutchinson Street in Auburn first, moved over there. I sat in that factory for three months, did nothing, I was alone, entertaining Mr. Koss. He'd come in , and I had to be there every Sunday, that was his ritual."
"AL:","Now, when you say Mr. Koss, which Mr. Koss?"
"JP:","Senior. The other Koss is Herbie, the boy, my little boy, I used to call him my little boy, because I was so small and he was a giant. So anyways, in between , he promoted me from sweeping the floor in the warehouse to the head of leather, which is the money-maker for a factory . If the leather's not proper, you lose money. That was my job, sorting the leather, grading it out, and -"
"AL:","Were you also the one buying it?"
"JP:","He'd go, Mr. Koss would go to Boston , or to the big leather shows, he'd buy some leather, overnight delivery to the factory for me to look at. I'd grade it all out, mark it down , and it was relayed back to him, my opinion of what it looked like. Well , first thing I knew, four hundred bags would come in. Railroad cars, now, from the Grand Trunk, and these bags weighed three hundred and fifty pounds, of leather. So then he'd come in like a week later, and I had to spot check different bags, to make sure my calculation was right. And (unintelligible) he was very, very pleased. And like I said , he just, I went to that to, I took over three departments, had a hard time because I was at that time probably twenty-five, twenty-six, and all the people that were working under me were in their forties, fifties and sixties, and they'd been there for years. So it was difficult on me, I think it was more difficult on them having some young guy tell them what to do. It's hard . I mean it would be hard on me if I'd been there for thirty years and have some young person, who's now a head supervisor, tell me what to do, you know? But there was always, in any factory, including Koss Shoe Company, that had what they called leaders, just one person would control probably about ten people, we're going to do it this way and that's it. So when I took over, I had to pick out those leaders, and fire them . One of the men , that I will not name, though the whole fam ily's dead now anyway, I let him go, he'd been there for, oh, I'd say thirty years, he went right up to Mr. Koss' office and really lit into it with Mr. Koss, about this young so-and-so downstairs just letting me go. Mr. Koss called me on the phone, well I had a number, it was bell, all through the factory , I heard my bell and, oh , that's for me. I went up to see Mr. Koss and he says, look, Jerry, he says, what's wrong, so-and-so, no name, so-and-so here said you just released him. I said yes. You told me I was the boss. Yup. I don't need him. That's it, Jerry, so-and-so, I'm sorry, but Jerry let you go, I can't help you. And that was it. So what I'm saying is that he always stood up behind me, Mr. Koss. Wouldn't back down for nothing. I mean it wasn't all smooth, it was very rough with him, he was a very, very strict man, demanding. How else would I say that, also he was very ~ generous, money wise, he gave millions away. I've seen him, like when a leather salesman would come in , I'd go with Mr. Koss, and go on the elevator with him , because it was six floors, and we'd walk around, the salesman would say- they always called him Joe, because that was his name, Joseph Koss, so business wise it was Joe. Far as I was concerned, it was Mr. Koss. I seen the old man , Mr. Koss, shake a man's hand , salesman, on a million dollars of leather. Handshake. Send it to me and I'll send you a check. Done. Today, you can't do that. No, you got to sign fourteen thousand documents and give me half down. No, pay in thirty days, no, not that, handshake. A million dollars. I almost fell of the elevator. That's the difference, you know. ~ I had people working for me, minimum wage, for twenty years. For twenty years. And they were happy. But when you was getting seventy-five cents an hour, eighty cents an hour when it went up, oh boy, it was unbelievable, you lived very well on that money. When I got married, I was making sixty-five dollars a week, because I was going up in authority, which was good money. I got married on that and had a child on that, but our grocery bill was ten dollars a week, that's the difference. Our rent was eight dollars a week. We had surplus money. Not today."
"AL:","Now it's very different. Before we go more on to your work in the shoe industry, I want to step back and talk about, because it's important to capture a sense of the community history as well, and talk a little bit about the family you grew up in and what the town was like when you were growing up. Can you tell the names of your parents and how many brothers and sisters you had?"
"JP:","I had, there was four of us, I have two brothers and a sister. I was the baby, I was the baby, I was seven years younger than my sister, which was the third one down . So like she's eighty right now and I'm seventy-three, and then each one of them was a , year apart, and the two boys were in the service. And Lewiston, Lisbon Street, Main Street, you couldn 't walk on it, there were so many people. Businesses were unbelievable, they had something like, I think like twenty-six buses that would line up on Lisbon Street, Main Street going up, and in front of Peck's across the street. And they had a, I called him a bus starter, he was the one who blew the whistle, he'd go out in the street, and all the buses had to move at the same time, so the scheduling was perfect. You could go all over the twin cities, including Sabattus for a nickel, five cents, then it went up finally to probably a quarter or -(telephone interruption)."
"AL:","So you were saying, the buses all lined up and for a nickel you could go anywhere."
