"person","text"
"(Interviewer:","Andrea L'Hommedieu) May 28,2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is May 28th , 2009. Today I'm interviewing Dana Pride, and this is Andrea L'Hommedieu . Dana, would you start by giving me your full name, and spelling it?"
"DP:","I am Dana Eugene Pride. D-A-N-A, Eugene, E-U-G-E-N-E, Pride, P-R-1-D-E."
"AL:","When and where were you born?"
"DP:","I was born in St. Mary's Hospital, Lewiston , Maine, 1970, July 13th."
"AL:","Did you grow up in Lewiston?"
"DP:","I did . Lewiston and Sabbattus, which is the same thing, to me."
"AL:","So you spent time in Lewiston."
"DP:","Well, I lived there my first nine years, and then when I was seventeen, I lived in Sabbattus, and then I moved back to Lewiston. I probably lived in Lewiston half my life. But I've had a house ten , twelve years, in Sabbattus. But I still consider Lewiston and Auburn my town , because I know where everything is."
"AL:","Growing up in this area, during the seventies and eighties, what was it like, in terms of social activities."
"DP:","My social activities, well, I lived on High Street in Lewiston, which, if you know now, is all the hospital, Central Maine. In front of us we had the hospital, and behind us we had the railroad tracks. That was our two playing grounds. We played, and the security guard used to kick us out of the hospital parking lot, and the railroad people used to kick us out of the railroad. But there was a whole group of kids that lived on that one side of the street. Right before, when I was four, they tore down, there used to be both sides, apartments, and they tore down, what would be the right hand side by the hospital, down. They left the left hand side apartments and houses. That's where all my long friends come from . I've known them since I was four, five years old."
"AL:","I know from talking to you earlier that you had many fam ily members working in the shoe industry in the area, and I'm wondering if you can go back and talk about the earliest, sort of chronologically, and then move forward with the different members of your family. What shops did they work in, and what did they do?"
"DP:","My father, my uncle, and my brother. My father is the oldest, so I'll go with him ."
"AL:","And what's his name?"
"DP:","His name is David Pride, Eugene Pride, that's where I got the Eugene from . He cursed me with the same thing. He started , I believe him and my uncle both started at this place called the Belmont, where they had a bunch of, there was a lot of sewers. I don't know exactly how many there was. There was hundreds of them at the time, and they used to sew in three pair lots. That's actually I think where they both , this would be the mid '60s, early '60s, that they started down there. That's where they both trained to be hand sewers. Back in those days they didn't last very long in one shop. They would go from boom, boom. They didn't like what they were getting paid here, they'd just pick up their jacket and their tools and they would go somewhere else, because there used to be, you know, they called, fly-by-nighters, shoeshop. They would get a small run of shoes and they'd say, they'd entice them, say, we'll pay a little better for this over here, and they'd go over here. But eventually that one would close down, and the big ones would stay around. I think the next one that was big was, Quaddy Moe, which was, Dave Rancourt was the foreman over there, who then started the later ones, down the line where I started . So, my father and my uncle both started at the Belmont, and I think they went to different places. I know my uncle worked at Quoddy, and he worked at Downeast Casual , and he worked at Maine Shoe, and Allen Edmond . I just known him longer, because my father got ill later on, and he couldn't hand sew as much anymore. But he did that for fifteen years, till he had rheumatoid arthritis, and it was too tough on his hands, so he couldn't do it, because it's piece work, you know. Now my brother, who's three and a half years older than I am, he started at a place called Down East Casual, which would be about '84, because he was eighteen when he started. He worked at several different places as well. Worked at Billings Shoe, he worked at Downeast, Maine Moe, Allen Edmond, even in West Sebago, down in Westbrook. My uncle worked down there too. I basically worked , I didn't leave the town, so I didn't want to go that far. Then, there was me, I was seventeen, and Dave Rancourt knew my uncle pretty well. My uncle is probably one of the top five hand sewers in the state."
"AL:","And what was his name?"
"DP:","His name was Jeff Pride. He talked to Dave, and Dave got me in to start sewing. I worked my, I had to lie actually, at first, because I had to say I was eighteen years old , and I worked in the making room for two weeks before they wanted to see, you know, so they gave me a big bad job as they could, you know. I remember I was making three dollars and whatever, fifteen cents an hour at the time, minimum wage was. So I did that for a couple of weeks, and then they started to train me in hand sewing. I can't remember the guy's name who started it. Matter of fact, I still got my first shoe. When you do something, they give you your first shoe. They like to bring it back later on, and say, hey, what is this. That's your first shoe."
"AL:","So, some of the time you worked , your uncle was still working."
"DP:","Oh yeah . I was, at one point I was actually his boss, because I was at Allen Edmond for a year and a half, I was the foreman of the hand sewing department. He just recently retired , one and a half, two years ago. That's all he did, his, it's a life, which is funny, with my uncle, this is a funny story. I always found it funny. In his early years, he started at the Belmont, and you had to make a certain rate, a certain amount of pieces, so you 'd get paid for it. He did it for a year and a half, two years, and they said , you're not going to make it, you're not going to make it, because he was more worried about going out to the strip at the time and drinking beer and doing things like that. And until they said , oh , we're going to fire you because you 're not making quota, he didn't really push himself. He didn't really care. Then he finally realized he had to push himself a little bit, and he realized he could actually make pretty good money. That was always the story between my father and my uncle, because my father, in the beginning, made a lot more money than he did . My father was a good sewer, but just above average. And my uncle could do almost twice as much as an average sewer at one point. So in the '70s he was making, he was brining home four hundred dollars a week, which was pretty good money at the time. My father was selling, we lived on Bates Street at first, then moved to High Street, his rent was seven dollars a week, and it went up to eleven dollars. He thought that was outrageous. So, it was pretty good money, considering what rent was."
"AL:","Talk about the hand sewers as a position in the shoe shops. I mean, they really had a lot of advantages."
