"person","text"
"(Interviewer:","Andrea L 'Hommedieu) April 20, 2010 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A, the date is April 20th, 2010, and I am with David Quinn at Acorn Shoe in Lewiston, Maine, and this is Andrea L'Hommedieu. David , could you start just by giving me your full name. David Quinn: David Kieran Quinn."
"AL:","And where and when were you born?"
"DQ:","I was born May 26th, 1948, was born in Springfield, Massachusetts, grew up in Bristol , Connecticut."
"AL:","And Bristol, Connecticut, what was that like at the time you were growing up in the fifties and sixties?"
"DQ:","We lived in a fabulous neighborhood and I had great friends growing up, went to Jennings grade school, and then Eastern High, off to University of Connecticut in Storrs, graduated from there with a degree in business, and moved to Maine as a lifestyle move. Back then a lot of us moved around, our choices weren 't so much economic, we just moved to places we thought would be great places to do the next th ing, so came to Maine."
"AL:","Why Maine?"
"DQ:","Oh, Maine was the ocean. I wanted to head north, in New England , and Maine had the ocean side of it, which was attractive to me. I had some family from New Hampshire, so we skipped over New Hampshire and shot up into Maine, and just started up living up here. I came up as a teaching tennis pro and got work doing that pretty much right away, and I did some factory work too, second shift, in a mill up in Augusta ."
"AL:","Now, what mill in Augusta."
"DQ:","Herb Miller owned the mill, it was right on the dam, it was the- what was the name of that mill, I can't think of the name of the mill. But I'd worked in fa ctories, in high school I worked factory work. When I turned sixteen I worked making coils to dimmer units in a factory in Bristol , Connecticut. And I did some other factory work, but I worked a lot of jobs. You know, as a kid you had a lot of jobs, paper routes and different stuff."
"AL:","What did your parents do for work?"
"DQ:","My father was an independent sales rep, working in the cosmetic trade, doing the New York City, Boston, Providence, Rhode Island, Waterbury, Connecticut, working with suppliers to the cosmetic trade and matching them up with buyers for the stuff that they made, and as an independent rep he drove Volkswagens and was gone, was home about three nights a week, stayed on the road ."
"AL:","And did you have brothers and sisters?"
"DQ:","I have two brothers and three sisters."
"AL:","So fairly big fami ly."
"DQ:","Yeah , I have a twin brother who lives in York, Maine, Peter, and I have an older sister Carol who lives in Burlington , Connecticut, and then it's Ed , Ed lives in Littleton, Colorado, along with my sister Pat who lives with her husband also in the same area, and my sister Florence lives in New Jersey, soon to be in Connecticut. She works in New York City."
"AL:","Wow, so spread out in three different places really. So tell me, you cam e to Maine and you did some factory work, and you said you did tennis?"
"DQ:","I was a teaching tennis pro. If you wanted to learn how to play tennis, you could find me somewhere, I was either at Capital Tennis in Augusta , when I started th is business that's where I was, and I worked also right here in Lewiston , at the indoor complex. That's closed I think, yeah, it is closed, it's on Westminster. Frank, let's see, what was the name of the family that owned that. I can 't remember."
"AL:","So tennis was something you did through high school?"
"DQ:","Yeah , did that, one of my jobs was a caretaker of two clay courts in Bristol, so I cleaned the courts up, that was when I was fourteen and fifteen , I'd clean the courts and then I'd start playing tennis on them, as soon as I cleaned them."
"AL:","So tell me, how did you get into the shoe industry, and about what year was it?"
"DQ:","Well, that's a fun story. I made holiday gifts every year for family and friends. When I got to, in 1973, approaching the Christmas holiday, a lady friend came up with the idea of a slipper sock and I latched right on to it, because I grew up wearing them as a kid , all of us did . And so I thought, it seemed like something simple I could throw together, I looked around to see if I could find some that were on the market and it was difficult, so I thought all right, I'll just get some leather and some socks and I'll figure out how to wrap a leather around the sock. Weill called, well I knew all the shoe shops here, because at this time I'm playing tenn is with some people that owned shoe shops and worked in the shoe shops, so I called the Gardiner Shoe, I think it was in the old Pepperell Building, and some gentleman says, you need some lasts, wh ich I didn't know what those were but he said come on over, I went over and we, I talked about the project, I said I had about twenty people and I described it. He said , well, we can do it. I said, we don't need ever size, so he gave me about three or four lasts to cover the sizes of the people. And I thought okay, so I used that to face the bottom of the foot, but I needed a way to wrap the leather. So I bought some plywood that was about 3/4"" thick, and I cut the shape of the sole, I traced the sole onto the, drew the sole onto the plywood, took a jigsaw and cut that shape out, pulled that sole shaped piece of wood right out of the plywood and I had this hole, and I sanded the edges of the hole and I sanded the edges of this plywood , and I wet the leather and I cut the leather to be an inch and a half larger than the hole all the way around , and I took the leather, wet it, put it over the hole, took the piece that I cut out of the hole, put it on top and slammed it back into the hole and jammed the leather so it had sidewalls. Let it dry for a day, and I knocked out the wooden piece and I had , the leather was completely formed, it had sidewalls completely formed , so, a little wrinkly, but it got the job done. That's one right there, that's an example of it. In that gilded slipper sock. I can actually show one, I've got some in the back room . And I went to a cobbler who had a grasshopper, which is a machine used in the shoe shops to do repair work, and he stitched - I cemented the sides onto the, I put the sock on the last and then put cement on the sides of the leather and cemented it to the sock, to hold it in place, gave it to a, I went to a shoe repair shop, the guy had, as I said, the grasshopper, and then he stitched the twenty pairs, twenty-two pairs actually - for me, one single row of stitching around it with the grasshopper, and that was my holiday gifts, and people loved them. They got them, seemed to wear them a lot, and I went into, I put my marketing business cap on and started doing research on the market for slipper socks, and cou ldn't find too many out there for sale anymore. So, I needed some history on it, I called, I found there was an association of, a hosiery association in North Carolina, Association of Hosiery Manufacturers, and I called them up and the gentleman on the phone actually was the guy who ran the whole association, and he had history on slipper sock production from 1948 to 1955, and it was like the Wigwams and the Ripons and different people who made these things, and they sold for a dollar ninety-eight, primarily in department stores, and they were stitched by hand at home, from a lot of women who were working during the war, and then husbands came home, they started to have families and they still wanted some work, and these sock companies would deliver the socks and the bottoms and people would hand stitch them on, with yarn, and those are the slipper socks we wore as kids, growing up. We'd get home from school at night and my mom would say, go put your slipper socks on , get your shoes off, put your- or if you were running around barefoot, put your slipper socks on . And where we all had to go to get them, at least I did , was at the, I had to make my bed every morning , which I did, and when I came home at night my slipper socks were, I had kicked them off in the middle of the night and they were down , so I'd have to reach way down under the covers to get my socks out, and then later that night I'd kick them off again, and the next day, to retrieve them , I'd have to go through the same process. So I got the figures on how many of these things were produced from '48 to '55 , and it was huge. So I decided it was going to be all north of the Mason-Dixon Line, so I took population statistics, I found out the number of them, I said okay, I'm going to use children and women, I'm going to just say that's who only wore them. And I got the population for, rough children/women population for those years, and it was just about a pair of slipper socks for every person, that's how huge the- so I figured people would know what they are, and who certainly recognized that, if I can get mine made into something, a version that will be, it'll be one of the nicest ones, and would they remember them fondly , that's what I needed to know, would they remember them the way I do, and want to own a pair themselves. So to start the business, in 1975, oh actually, here it is, I've got my notes, 1974 , in September through November of 19741 brought the idea to Ted Johanson at Falcon Shoe- Ted was a fabulous tennis player."
"AL:","Oh, he was?"
"DQ:","Yes, he was, and he and I played doubles a lot, we had a great doubles foursome, and we played singles and stuff. And in conversation I mentioned to him that I had this idea, the Iipper sock idea, and he said , well let's have lunch and play some tennis, I'll show you my factory. It was a Friday. So that's what we did , we came over here to this building and went to the fifth floor, he showed me his entire factory, gave me the tour, and he showed me why the slipper sock wouldn 't fit in his factory, it wouldn 't consume enough of all the different departments, things that he did. And I could easily see it. And then he turned to me and he said, why don't you make them? And I said, yeah, I said, sure. And he said, why don't you come in Monday, I have Camille Goupil, who's my superintendent, and Camille is approaching retirement, but he's available and he can work with you. So I came in on Monday, and Camille and I, over a period of a bunch of weeks, made prototypes and (unintelligible) , and then I took the idea down to L.L. Bean, just cold, the item , walked into the old L.L. Bean, the buy offices were still where the retail is right now"
"AL:","Okay, in Freeport?"
"DQ:","In Freeport. I walked up to the desk and I said , held the item up, and I said , who would be the buyer for this item . The lady looks up, sees the item , walks off, some guy comes up, he looks at and he goes, hmm, that's not me, just a minute. So he goes, another big guy comes up, doesn't look at me at all, just looks down at what I have in my hand and he said , where were you three months ago, I could have sold five thousand pair of those. And that wasn't Mert Greenleaf, but Mert was the L.L. Bean guy, that was- I'll think of his name. Great guy. Yeah , he ended up at Land's End, too, working for Land's End. He lives in Pownal, Maine."
"AL:","So they interested ."
