"person","text"
"(Interviewer:","Andrea L'Hommedieu) April16, 2010 Andrea L'Hommedieu: This is an interview for the Shoe Industry Oral History Project at the Museum L-A. The date is April 16th, 20 10, and I am with Kyle Rancourt in Lewiston , Maine, and this is Andrea L'Hommedieu . Kyle, could you just start by giving me your full name and spelling it? Kyle Rancourt: Sure, Kyle Rancourt, K-Y-L-E, R-A-N-C-0-U-R-T."
"AL:","And where and when were you born?"
"KR:","I was born August 13th, 1984 in Lewiston, Maine."
"AL:","And did you grow up in the Lewiston area?"
"KR:","I did, I did, right here in Lewiston, right off Pond Road , down the street. My parents grew up in Lewiston , been here, our whole family's grown up in Lewiston our whole lives, so, never lived anywhere else, except in college."
"AL:","Right. And so you were born in the early eighties."
"KR:","Yes."
"AL:","And so you maybe have a few memories of the eighties, but more likely the nineties."
"KR:","Yeah , much more vivid memories of the nineties, shoe business in the nineties."
"AL:","What did you see going on in the shoe business at that time?"
"KR:","Well, by the end of the nineties I would only have been sixteen years old, and my biggest concern in life was certainly not my parents' shoe company. So I didn't really know much. I mean I worked in the office and the factory and the warehouse, during the summers. We'd have a tent sale here in Lewiston, right at the factory , and I'd work at that. But- what do I remember?"
"AL:","And your grandfather was in the shoe business too."
