"person","text"
"(Interviewer:","Andrea L 'Hommedieu) April 16, 2010 Andrea L'Hommedieu: This is an interview for the Shoe Industry Oral History Project at Museum L-A. The date is April 16th, 2010, and I'm at Rancourt & Company Shoecrafters in Lewiston, Maine with Mike Rancourt. Mike, could you start just by giving me your full name and spelling your last name. Mike Rancourt: Michael Rancourt, R-A-N-C-0-U-R-T."
"AL:","And where and when were you born?"
"MR:","Lewiston, February 7th, 1954."
"AL:","And you grew up in Lewiston?"
"MR:","I grew up in Lewiston, yeah."
"AL:","What was Lewiston like in the fifties and sixties, growing up?"
"MR:","I wouldn't remember the fifties, because I was too young. I would say my first memories would be the sixties, and it was, you know, we were a family of five and so my siblings at that time, we had maybe three of us in the early sixties. And I remember Lewiston was a fun place to be. It was a great place to grow up, never had any concerns as a child, and so it was good memories of growing up actually in Lewiston."
"AL:","What part of Lewiston?"
"MR:","We were on Holland Street, again, that's my first memories of where we resided , Holland Street in Lewiston, which is over behind CMMC, Central Maine Medical Center."
"AL:","And what sorts of things did you do for fun growing up?"
"MR:","For fun , that's a good question. You know, I always liked sport, so I ran , I ran track when I was in school. But with friends , I mean I was never a winter sport person, so it was really in the summer, it was all about heading to the ocean or to the lakes or spending time with friends or family."
"AL:","And what was downtown Lewiston like then, very different than today?"
"MR:","Yeah, very different than today, yeah . That was kind of the place to be. I remember as a young teenager, along with my older sister and my younger brother, we would every Saturday head to downtown , sometimes we'd walk, sometimes we 'd take a bus, and that's where all of our friends would gather. But all of Lewiston would spend some time in downtown Lewiston at some point, you know, adults, my parents, my grandparents, my siblings, friends , neighborhood friends, neighborhood acquaintances. So yeah, downtown was very different in the sixties and early seventies, and then it started to change dramatically."
"AL:","Because there were a lot of businesses still vibrant in that area at that time."
"MR:","Yeah , retail was very vibrant at that time. And of course the mills, the textile mills were still in operation. Not, obviously they were starting to shrink, but the shoe business was very strong in downtown Lewiston and Auburn. So yeah , there was a lot of reason , you know, there were retailers that attracted people, there was industry that attracted people, all brought us to the center of Lewiston-Auburn for many years."
"AL:","And was it a lot more what you 'd call pedestrian traffic, walking rather than cars?"
"MR:","Yeah, very much so. I think most teenagers, none of us really had , I mean we started having cars in the later years of teenagerhood, but yeah , it was all walking or bicycling down. More like a traditional European city that you see today, where the center of the city is the center and heart of the community."
"AL:","And can you tell me your parents' names and what they did for work?"
"MR:","My father's name is David Rancourt, and then my mother's Norma Rancourt. They're retired now. My father had been in the shoe business for many years, he started in the fifties as a hand sewer, learned how to hand sew, and then went to work for a company in Auburn by the name of- I'm sorry, I can 't think of the name right now, excuse me - but went to work for a small company in Auburn, and then over a matter of years became, you know, worked his way up the ladder, if you will, in management position, and then finally bought it in the mid sixties and then owned his own shoe contracting firm for a number of years, and then sold it."
"AL:","And did your mom work outside the house?"
"MR:","Yeah , my mom , it's funny , because my first memories of my mother was homework. At the time, there was a cottage industry where you would take these leather uppers, people would drop them off at home and women, many women but my mom in particular would take needle and thread and whip stitch the two pieces together, --; the plug and the vamp. That's my first memory of her. And then she did have outside jobs, not just in the shoe business. I mean, she worked for, again , Raytheon I believe, over here in Lewiston at one time, making parts for the military I believe. And then she did finally join my father when he bought the company, she joined my dad , worked in the office and did administrative things."
"AL:","So, did they both come from Lewiston as well, or from other places?"
"MR:","My mother was born in Lewiston, my father was born in Canada, he was an immigrant. His entire family was born in Canada, you know, traveled back and forth. His dad owned a business as well, my grandfather, he was in the lumber business and he would cut, he had me that would actually cut trees and then sell it to the pulp industry, for many years."
"AL:","And did your dad have a lot of brothers and sisters?"
"MR:","Yeah, I believe it was nine all together. That was the good French way back in their generation."
"AL:","So he emigrated to the U.S. and he met your mom, probably here in Lewiston?"
"MR:","Yes, right."
"AL:","Was your mom Franco American as well?"
"MR:","Yes, yeah, her parents were Canadian, they were born in Canada and immigrants as well , worked in the textile mills, both her parents did . But she was born, and I believe both her brothers were born here as well, in Lewiston, so two uncles."
"AL:","And so what sorts of traditions, did you have any particular traditions that were French oriented?"
"MR:","It's interesting because, you know, I've spent a lot of time traveling and those traditions are true for many Europeans in particular, but Catholics in general. You know, whether I'm in South America or Europe , wherever I work or interact with Catholics, they have very similar traditions, Christmas being a big one. That was a big holiday for us, the Christmas tree, decorating it, because the whole family would get together and plan on the day that we decorated and decorate the tree. And Christmas Eve was always a fun gathering with aunts and uncles and nieces and nephews, those were big gatherings, could be thirty, twenty, thirty, forty of us at someone's home, whether it was our home or whether it was my aunt and uncle. So that's the one that sticks with me the most. And then of course the cooking, you know."
