"person","text"
"(Interviewer:","Andrea L'Hommedieu) May 12, 2010 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is May 12th, 2010, this is Andrea L'Hommedieu, and today I am interviewing Jeannine Roy at her home in Lewiston , Maine. Jeannine, could you just start by giving me your full name? Jeannine Roy: I'm Jeannine Roy."
"AL:","And where and when were you born?"
"JR:","I was born in Canada."
"AL:","What part of Canada?"
"JR:","St. Prosper, it's near St. Georges, it's a big city, St. Georges, but we were just about fourteen miles from there."
"AL:","And when were you born?"
"JR:","May 7, 1935."
"AL:","Oh, well happy birthday last week."
"JR:","Last week."
"AL:","And so, do you have memories of living in Canada?"
"JR:","Oh yeah, but that's one place I wouldn 't want to go back."
"AL:","No? Well, tell me about your parents, they were born and raised in Canada?"
"JR:","Yes, they were."
"AL:","And how many children did they have?"
"JR:","Seven ."
"AL:","And what did your parents do for work in Canada?"
"JR:","Lumberjack. My mother wasn't working, but my father was a lumberjack."
"AL:","Now, did that take him away from the home a lot, or was he able to be home at night?"
"JR:","Sometime. Sometime he used to be away the whole winter, because it was far."
"AL:","And so was it they that decided to come to the U.S. and they brought the kids with them?"
"JR:","Yeah."
"AL:","And you were thirteen at the time?"
"JR:","Thirteen."
"AL:","Were you in the middle, older, younger within your siblings?"
"JR:","I'm about in the middle, yeah , I'm in the middle."
"AL:","And so did your parents tell you why they decided to come to the U.S.?"
"JR:","Not really, not really, no. I guess my father used to work as a lumberjack in the United States, Flagstaff? And he decided to buy a place in Maine and we moved."
"AL:","And so did you move to Lewiston or someplace-?"
"JR:","Sabattus."
"AL:","Okay, and so how old were you when you began in the shoe shops? I went to school in the Sabattus, we didn't understand a word English, not a word . I went, when I was fifteen , still the same way, eh? So I decided I'm going to go to work, so I went and apply for a job down Federal Shoe Shop, where Knapp Shoe used to be there, first that was Federal, and got a job there. At fifteen ."
"AL:","Now, how many hours a week were you allowed to work, or did you -?"
"JR:","Forty. Yeah, they allowed forty hours. I told them I was sixteen , though, but I was fifteen."
"AL:","And so what kind of work did you do at Federal?"
"JR:","At Federal I used to get the work ready, put all the pieces together on the rack and give that to the stitcher to stitch, that was my job."
"AL:","Did they only allow you to do so many kinds of jobs at that age?"
"JR:","No, I could do anything, yeah. But right there and then, that was the only thing to do, because they had enough people for all the other job. That was busy enough, to feed the stitcher, that job was, it was enough for one job."
"AL:","At that time the shoe shops were very busy in this area, would that be true?"
"JR:","( oh, they were busy, oh my God, yes, you could quit your job every week and get in to another shoe shop. )"
"AL:","And did that happen a lot, did people move from shop to shop?"
"JR:","Oh yes, oh yeah . (sut not me, I wasn't the type to move. When I had a job, I stick to it. Just like down at Falcon, I went down there in 1970 and I'm still there )"
"AL:","Nineteen seventy?"
"JR:","Yeah."
"AL:","That was forty years ago."
"JR:","Yeah, forty years I'm with Falcon."
"AL:","So you start at age fifteen with Federal, and then you moved around a little bit for a while?"
"JR:","Yeah, and then I went, I don't remember if that place closed , that I don't remember, and Knapp Shoe took over, I don't remember. Then I went on Clark Shoe and I stayed there, oh , I don't remember how many years I stayed . Then I went Maine Shoe, that was right in back of Clark Shoe, I stayed there a few years too. And after that I went to Freeport, the FreeMoc Shoe, and I don't remember how many years I was there. Not that many, because I didn't like traveling. So I got a job, Androscoggin Shoe, it's right where Falcon is. Falcon was in one end , Androscoggin was the other end, it was father and son, so I went to work for the father. They closed, after a few years they closed, and Falcon Shoe, the boss, came over and got me to work, I didn't have a day off. And I've been there ever since."
"AL:","And so what work have you done over the years?"
"JR:","Stitching."
