"person","text"
"(Interviewer:","Andrea L'Hommedieu) February 21, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History project. The date is February 21st, 2006. This is Andrea L’Hommedieu, and today I am interviewing Jacqueline and Richard Ricker at their home at 11 Lincoln Drive in Lewiston, Maine. Jacqueline, could I start with you and ask you to give me your full name? Jacqueline Ricker: Jacqueline Marie Ricker."
"AL:","And where and when were you born?"
"JR:","I was born here in Lewiston, and I’ve lived in Lewiston all my life, Lewiston and Auburn but in this area."
"AL:","And your date of birth?"
"JR:","November 12th in ‘35."
"AL:","Did your parents grow up in this area as well?"
"JR:","No, my parents came down from Canada and then they, my mother worked in the mill also, years ago."
"AL:","What did she do in the mill?"
"JR:","Oh, my gosh, I don’t remember. But she worked in the mill."
"AL:","And what was your maiden name?"
"JR:","Bureau, and my father owned, they owned a furniture store on Lisbon Street, so my father never worked in the mill."
"AL:","And did he make his own furniture?"
"JR:","No, it was a, just a, he just sold the furniture."
"AL:","And so, what was it like growing up in Lewiston in the forties and fifties?"
"JR:","It was very nice. Life was simple then, very nice, and you could trust everybody. I mean it was, people were very friendly, and at night we’d sit on the porch and everybody, all the neighbors would gather around and talk. There was no TV at the time when I grew up, when I was younger, and everybody would sit outside and talk. And the neighbors would mingle, and it was very nice and life was very simple then."
"AL:","What part of Lewiston did you live in? 1"
"JR:","I was born on Androscoggin Avenue, that’s when I, when we moved from there I was fifteen years old. Then we moved to Auburn. And I was married, I got married and then I moved back to Lewiston."
"AL:","Do you recall what downtown Lewiston was like at the time, in terms of shopping?"
"JR:","Oh yes, very much so, with shopping. Everybody, there was no mall and everybody went shopping on Lisbon Street on a Saturday afternoon. I mean, you had a hard time to walk on the sidewalk, I mean it was crowded. Busses were going and it was very hectic, compared to now."
"AL:","And can I switch to you now Richard, and tell me your full name and where and when you were born. Richard Ricker: My name is Richard Henry Ricker. I was born in Lewiston, right across the street on 265 Lincoln, and from there, what else did you-?"
"AL:","Your date of birth?"
"RR:","Oh, June 2nd, 1932."
"AL:","And so did you grow up in Lewiston?"
