"person","text"
"(Interviewer:","Andrea L 'Hommedieu) February 21, 2009 BRICK WORKERS ORAL HISTORY PROJECT LEWISTON-AUBURN, MAINE Andrea L'Hommedieu: This is an interview for the Brickyard Workers Oral History Project at the Museum L-A. The date is February 21st, 2009, and I'm at the home of Gerry Rousseau in Lewiston, Maine, and this is Andrea L'Hommedieu. Gerry, could you start just by giving me your full name? Jerry Rousseau: Gerard L. Rousseau, Gerard Laurent Rousseau."
"AL:","And do you go by Gerry?"
"JR:","I go by Jerry with a ""J."""
"AL:","With a J, okay. And where and when were you born?"
"JR:","I was born in 1930, May 2nd, in Auburn."
"AL:","And did you grow up in Auburn?"
"JR:","I grew up in Auburn and lived in Auburn until I met my present wife, twenty-three years ago, and then I moved over here, this is her home, which I moved into her home with her here."
"AL:","And talk to me about where in Auburn you grew up, and what that area was like?"
"JR:","I grew up on Western Promenade, which is in the central part, so to speak, of the old section of Auburn. In other words, we were within a mile of the shoe industry and of the city of Lewiston. And I went to Lake Street School. At that time there used to be a hospital in Auburn which was called the Auburn Private Hospital, which was owned by the McGuilreys (sounds like), and they closed that hospital sometime in the forties and I'm not sure just when."
"AL:","And what were your parents' names?"
"JR:","My father was Joseph Rousseau, and my mother was Rosanna Grenier Rousseau, they were both born and raised in Canada and came to this country around 1916, in the Haverill area, then they moved into the Auburn area around 1918. They were, my mother worked in the shirt factory, there used to be a shirt factory in Lewiston back in the twenties, and my father worked in the shoe industry."
"AL:","What did he do?"
"JR:","He was a shoe cutter, and he was what they called a foreman in those days, and he used to get the prices for the shoe industry. He was a union man, and he used to get the prices to price shoes for the people in this area out of Brooklyn, New York, which would be more favorable towards the people here in this area. Not being union at that time, if you were - I know you don't remember- but at that time they used to have, during the early thirties, a strike, and he was quite involved in the strike in the Auburn area."
"AL:","Did he ever talk to you about what that was like?"
"JR:","No, not really, not really, never talked to him, which I was pretty young, being born in 1930. We had a, my father had his mother and father living with us, in a relatively small apartment, we had a six room apartment and we were three children, we were four children that lived there, I had an adopted brother, Ernest Coty, and he became the engineer of St. Mary's Hospital, kept that operating all during the thirties and forties , during the war, until he retired about twenty years ago. We had, my folks were saints, they brought up a number of children. Being from Canada, being from large families, my mother brought four of her nieces to this country, from the time they were teenagers til they got married, and they stayed in this country except for one, and she went back to Canada to live. My father likewise, he brought in four of his nieces and one nephew and, til they got married, still in this country, became citizens, and one went back to Canada. Being brought up on a farm in those days, the Canadian people didn't have very much. In fact, my folks used to help them immensely. And my father lost a brother at a young age, and he had brought up two of his sons. So this is the kind of people my folks were, very charitable."
"AL:","And I know when I walked in here today, you were talking to me about for you family comes first. Do you feel that that's where you got it?"
"JR:","Yes, there's no question about it. When I started at the brickyard, I started working in Jimmy's Diner number one, which was by the railroad tracks on Court Street, almost I'd say across from Denny's muffler place there. And they used to be a (unintelligible) on one side of the tracks, and Jimmy's Diner on the other side of the track, then there was (unintelligible) store next to that. I went there in 1942 for one year washing dishes. Then in 1943 - that's when I got my Social Security card, in 1942 - 1943 I started working in the brickyard at Dennis on Washington Street in Auburn. They were not too far from where I lived, being brought up, I moved from Western Promenade out to Zoar Street, off Poland Road, in 1938, and worked at Dennis for summers. And in those days, to be a part of the family, so to speak, we used to contribute as much as we could because we thought we were being men in our teen ages, so we used to give our pays to my mother, and I gave all my summer pays to my mother, and the only pay that I kept was the last week of the summer, and that was what I used to buy my clothes with, my school clothes."
"AL:","That's great, so you really contributed (unintelligible)."
"JR:","Yes, we did, yes. We were people with very little means, and in fact around 1943 or '4, my folks , just to show what kind of people they are, brought up foster kids, brought up two sets of foster kids at two different intervals, and they stayed with us a number of years, until the graduated from high school and went on from there. Matter of fact, they probably were taken better care of, in some respects, as far as having clothing that was new, as opposed to my clothing which was made, home made by my mother. She was a great cook and a great seamstress. We had some chickens and I used to go Parson's Grange on Minot Avenue and get grain there in 50 lb. bags, and my mother would take those bags and make sheets out of them, or underwear or handkerchiefs or whatever. And then out of heavy material she would make outer jackets for me, and this is how I survived in those days. And the kids from the state department, they'd have brand new clothing, every Christmas, every birthday, back to school, and I'd have the hand-me-downs. But I enjoyed it, I'm none the worse for it today. Maybe that's how I learned some of my attributes, from my folks, because that was the kind of people they were. So what happened , we never knew there was rich and poor people in those days, we were all the same. In fact, talking about what did we have to eat, my mother used to go to the store and get bones, hoping there might be some meat on them, and boil them and make stew, make white sauce, and in the white sauce, cornstarch. And she would put either string beans or peas or hard boiled eggs, and this would be our meal. And we enjoyed it very much. But we didn't, she did a lot of that kind of stuff, and it was very good, very tasty."
"AL:","That's great. Did she bring any recipes that, from her family in Canada?"
"JR:","Yes, she did , but I don't have them. My sisters do, but I have none of those."
"AL:","Do you remember what some of those dishes were that were -?"
"JR:","Well, not really, because she could do anything. I mean, fricasse she could make, and stews she could make."
"AL:","Meat pies?"
"JR:","Oh, we loved her meat pies, Chinese pie. Once in a while if we were lucky we'd have a roast beef or a roast pork, but that wasn't very often."
"AL:","So talk to me about your time in the brickyard."
"JR:","I started, as I say, in 1943, when there was child labor. Because everybody was in the service in those days, and knowing the Dennis family, they hired me, and I started working, big salary in those days, sixty cents an hour. And whereas when I worked in Jimmy's Number One I worked for ten cents an hour, so that was a big jump."
"AL:","Now you were only like ten, or thirteen?"
"JR:","I was thirteen when I started in the brickyard . And the other people started off at ninety cents, the older men, and I, near the end of the season I said, you know, I'm doing their work and I figure I should I have a raise, so they gave me a slight raise. But the following year I did jump to ninety cents an hour. In fact, that was as much as my father was making in the shoe shop during those days. They weren't making an awful lot of money, being a shoe cutter, and they used to work two or three days a week, maybe four if they were lucky, and then there used to be a place on Park Street and they used to get what they called like green slips, so if they didn't make the maximum, they'd get a slip and then it would subsidize the balance of their income, so to speak. But there was no welfare in those days, so we had to provide with whatever we had. But I started as a laborer, naturally, being a brickyard, it's laboring, but I worked in the area which they call wire cutting. And wire cutting is a specialty, but it's not as back breaking as water strike. Wire cutting, we used to get our clay from the hills behind the brickyard, and we'd get an old tractor there and have a scoop, a big, heave metal scoop, and you'd get the clay and you'd bring it down to a machine that crushed the clay, and you'd throw sand in it and mix it, and it would go on a conveyor belt. And then that conveyor belt would take it in about maybe fifty feet, and it would come out on this platform and this machine, this machine was the size, it was iron, it was the size of a brick, which was probably, I don't know, eight inches, whatever, by an inch and a half, and it would come down, this conveyor, this machine, and it would have wires, and that's why call it wire cutting . And you'd have a board, there'd be a platform is what it'd be, and the bricks would be packed , molded, packed, and then a machine with a big arm, metal arm, and you'd- this was the back breaker- you'd go forward with it, and you 'd bend backwards and swing around and bring it back up so that the wires wouldn't catch onto the clay. And you'd take about ten of these pallets, is what they used to call them, and you'd put them on a wheel barrow, and you'd bring them outside about, oh, maybe thirty yards, and you'd put them in the racks. And then these racks, which was probably fifty feet long and maybe six feet tall, you'd slide these racks into these bins, these racks, for drying. And then you'd leave them there for two or three days, depending on the weather, and you'd separate them to dry in between. Then once those were dry, you'd have to take and wheel those where the kil[n]s might be, which was another forty, fifty feet beyond the racks, and then these kil[n]s would be, depending on the orders that they would have early summer, early spring for the season, the size that they might be. But they would probably vary, like ten doors to twenty doors, depending if it's the beginning of the season or the end of the season, and probably about, and I'm guessing, fifteen feet high. Now these doors, they were openings like every three feet, and they'd to all the way through the length of that kil[n]. And you would stack the bricks up and toss them , four at a time, right to the top, and believe me that's kind of tough for a young kid, and then you'd pull, once all the kil[n]s, then you'd start them by burning evenly, or unevenly, depending on the color that you wanted, and you'd have a long pole, which was probably twenty feet long with a pick on the end, and you'd have slabs, and you'd push those slabs all the way through, about half ways, and then you'd do the same thing on the other side, and you'd push some of them half ways, and you'd have the fire going inside, which you had to start manually. And you'd burn those for probably a week or ten days, depending again on the coloring that you wanted. The slabs themselves, they had to haul in from a lumber yard from out of town, they could be almost anywhere, and you'd stack them for the season. In other words, you'd put hundreds and hundreds of cord of wood, then you'd have to go get those at night and bring it towards the kil[n]. Every once in a while there might be a bees nest in there and you might get stung, or a skunk under the pile. But it was interesting."
"AL:","And so when the kil[n]s were going, were there people there all, twenty-four hours a day?"
"JR:","Yes, the Dennises themselves would start them, because they were the experienced people, and then we laborers would come in and work like double shift, we'd work all day, then burn all night, then have the next day off, then work all night and all day, and alternate the shifts. The owner of the brickyard was Mr. Joseph Dennis, and the number one man there was Lawrence Dennis, which was one of this sons. Then he had three other sons, Willy, Larry and Rosie, and Joseph did have one daughter, Florence, and they lived right there next to the yard, there's a brick house there that they lived in. And Lawrence lived, there was two houses there, and Lawrence lived in the other house, it was a white, wooden shingle house there, and they brought up their families there."
"AL:","What were they like?"
"JR:","They were nice people. That what you asked me, what were they like?"
"AL:","Right, yeah."
"JR:","The were family people, they were hard workers. Willy spent a lot of time in the service, the others did not, and he came back after and continued his work there. They all made their living there til they closed the yard, and I'm not sure when they closed the yard. They also did some water striking, which I'm not as familiar with. Water striking is a soft brick, like a deformed brick, somewhat, and they used to get clay and put it in a pit, and these people that worked in the pit would wear their bathing suits because they were in the mud up to their waist, I swear, and then they would mix the sand in there and put it in this revolving water strike machine that would mix the mud, mix the clay, and it would come out onto pallets. Then they would wheel the pallets, and put them on the ground , and spread them out on the ground for three or four days to dry out. And they were a totally different kind of brick. These people, it was a back busting job. I can remember a few of them, like Willy Baker, his father had a wood yard off Taft Avenue in Auburn, off Portland Road, and then there was a fellow by the name of Ben Busy, and then there was the Chamberlain brothers, then I had an uncle by the name of Gerard Grenier, he was also a water striker there. I can 't tell you all the people that used to work there. A fellow name of Labbe, I remember him, great big strapping fellow, strong as an ox. But it took somebody with a strong back to do that kind of work. But they would do the same thing. They had their own crew over there, and then they would wheel them. We would sometimes go over there and flip the bricks over to dry for them, if they didn't have enough people, because they wouldn't stay there very long. For some reason , that profession, they worked too hard I guess, and they weren't too interested in even working a season, although some of them did come back."
"AL:","Was there a lot of turnover at the job?"
"JR:","Yes, there was, but that's because, again, during the war you didn't get many of the older people. But yes, there was turnover, there's no question, yes."
"AL:","Now how many years were you there?"
"JR:","I was there six years, six summers, not years, six summers, from '43 through '48, forty three, four, five , six, seven, eight, six summers."
"AL:","And what did you do in the winter?"
"JR:","I went to school. Played sports."
"AL:","Oh, right, because you were only thirteen, so."
"JR:","I was only thirteen when I started, right, yes."
"AL:","So when you were nineteen, you went on to do something else."
"JR:","I worked for Flanders Clothing Store, and I worked for a year and I went in the service, I went in the Air Force for four years, I went in in December the 4th of 1950, and I spent three years overseas and I came out four years later in 1954, and I went back to Flanders. They were good enough to rehire me, they thought I was good help, I guess, and I stayed there until 19-, I bought the store a number of years later- (Outside interruption.)"
"JR:","So I came back from overseas, I went back to Flanders."
"AL:","And what did you do there?"
"JR:","I was a salesman , and I was the buyer for about thirty-odd years, I owned the store, and I closed the store November 1st, 1997. My health started to kick in , I had problems, I had a stroke, I had a full bypass, I've had cancer, I've had back operation, I've had, my eyes, a laser treatment, I've gone through the mill, but the good Lord didn't want me, I'm still here. I'm a survivor, you might say. But I lost eighty percent of stomach, and I lost quite a bit weight, but here I am."
"AL:","Now talk to me about the Flanders department store, where was it in town?"
"JR:","Flanders was on Court Street, across from today the Casco Bank, or whatever the bank is there, and the county building and (unintelligible), in that block there. And it opened in 1904, it started down from, I was at 62 Court Street, and they started down at 32 Court Street, and they were there like forty years, fellow by the name of Emerson Phillips and Mr. Flanders went in business together, and they decided that there wasn't enough business for two men , that one's got to buy out the other. So they flipped a coin and Mr. Flanders won, so he kept the store and he moved up the street and relocated , and was there for ninety years. And that's the history of Flanders."
"AL:","So was it just a clothing store, or was it a department store? Because I said department store, but correct me if I -"
"JR:","Well, it was a men's clothing, started out. And then about, oh, and I'm guessing , about maybe in the late fifties, we started bringing in some ladies clothing, Hathaway clothing, Chippawa clothing, and then we brought in Lady Pendleton and Lady Woolrich, and so I was probably eighty percent men's clothing and twenty percent ladies' clothing. But we had quality clothing, and we had our own tailors, which we could give the service, which not many stores around here could. In fact, I outlasted the other stores by twenty years or more, which probably- we did well, we did well until we closed."
"AL:","What were some of the other stores that were your competition?"
"JR:","There was Benoit's, there was Cobb Watson, there was (unintelligible)- I'll start by Auburn, there was Flander's, Cobb Watson, (unintelligible) , and Haskell & Hopkins, Haskell & Hopkins, they were in Auburn. Then Haskell & Hopkins moved to Lewiston. Then in Lewiston you had Sears Roebuck, then had Loren Merchandise, work clothes, and Penney's, Loren Clothing and Work Clothes, primarily. Then you had Peck's, the big department store which carried ladies', men's, children's, which was middle class clothing. Then you go up, further up on Main Street you had Frank's that was in there for a short period of time, men's clothing. And then you came down Lisbon Street and you had Juddy's (sounds like), which was a high fashion store but very small, maybe twenty by thirty, which was a nice store. Then you had Grant Clothing, Oscar Benoit and his son ran a fine store, what I call middle class clothing, price range. And then you had LeBlanc's which was quality clothing, then you Benoit's, you had, 0. L. Benoit's, that was here for a very short time. Then you had Tony Fournier, and he was there for a short time. Well , I'm sure I probably skipped a couple, but there was a number of stores back then, and they all disappeared ."
"AL:","Was it hard in later years to have tailors?"
"JR:","Ladies clothing was not heavy work, men's clothing was heavy work. When I say heavy work, it's heavy construction. We used to take a coat apart and take the collar off, reinsert the collar, we used to lower the, one collar or one shoulder to the other, we used to change the high mole in the collar, like a custom made coat, we used to lower waistbands. Not every store could do that, not every store had a tailor. So that's probably why we, and we were successful in what we were doing. I had a lady by the name of Mary Petrakis, from the old country, she came here from Greece, and she, in those days if they learn a profession, you learn to tailor and you worked for nothing for a year, and then you, she went to work for Mr. Young, who taught her the tailoring business, and then she came to Flanders, to work for Flanders in 1950, I believe, and she was there until she retired, and I'm guessing somewhere around the seventies, she was in her late seventies. And we also had a very close friend of hers, Mary Goranitis, that did a lot of busheling for us. Mary Goranitis is Olympia Snowe's aunt, in fact brought up Olympia Snowe, and I won't go into that history."
"AL:","I had a wonderful chance, I interviewed her a few years ago."
"JR:","Olympia?"
"AL:","No, Mary -"
"JR:","Oh, Mary Goranitis, yeah, lovely people. And then we had two or three other women after that, because of age retirement. And you say, it was heavy work, yes. We didn't just do cuffs on a shirt or cuffs on a coat or bottoms or wa ist, that's what we used to call busheling, and so most any seamstress can do that. But tailoring is a different profession, a tailor is not what we call a seamstress, which is what woman would do, is seamstress work."
"AL:","Now I'm interested to know, you worked for Flanders for a few years and then you bought Flanders. How did that come about?"
"JR:","Well, I guess they felt sorry for me, I was there for so many years that they thought I was doing a pretty decent job and they offered me the store and I bought it."
"AL:","So that was something you really wanted to do."
"JR:","Yes, that's something I always wanted, and being, it was one of my first jobs, you know, started there before I went in the service and came back out and worked there for forty-eight years, that's quite a longevity, you might say. Not many people can say that they worked in a place for forty-eight years."
"AL:","No. And tell me what your involvement was with the community. We touched on this just briefly before the interview."
"JR:","Well, I was always interested in people and things, started I guess you might say in the church, Sacred Heart Church, being born in Sacred Heart parish. We had an old, old barn for our church before they built the present church in 1938, I think it's somewhere around July 3rd , 1938 they built this present church. But before that it was an old barn with the horse stables."
"AL:","And where is it located?"
"JR:","That was directly behind the Sacred Heart Church today, on Western Avenue, it was directly behind that. When they built the church in front on Western Avenue, they tore down the church behind there. So I got involved with the church, I was on the first council of the church, and from there I, we had a men's club, and I was involved with the youth groups in the church, I coached basketball, and I got married in 1956 and lived on Western Avenue, and got very involved with the athletic programs in the church, and my kids going to Sacred School back there. I got involved with a lot of different activities in the church, whether it was raffles or bean suppers or chop suey suppers. And then from there-"
"AL:","And you also got involved politically."
"JR:","Politically I got involved, well one thing led to another, being involved in the church and groups, organizations, I was president of the (unintelligible) and the Key Club in the school, at the same time you might say. And then from there I got involved with so many different activities. I was man of the year back in 1974, and I was president of the Key Club, the Chamber of Commerce and the Red Cross, and I can go on and on to many different, the Grandstand Club, I was the original, one of the charter members of Grandstand Club, the original president there for two or three years and helped with all the different activities, the building of the fields out there and what have you. Chamber of Commerce, I told you that."
"AL:","Now how did you become a member of the Auburn City Council?"
"JR:","In 1958, I didn't like the way the community was going and I decided if you're going to, if you don't like what you see, do something about it. So I ran for council and I got elected. And then they were two year terms, and I got elected two different terms, I decided I'd had enough and I got out. But I kept getting myself involved with different committees and different associations within the community, and in the city, on different boards. And then in 1974 the, I was one of the originals that got Jim Longley to run for governor and got him elected governor."
"AL:","Now, can you talk to me a little bit about that. How, what did you do to get involved with persuading him or helping him?"
"JR:","Well the Chamber, through the Chamber of Commerce, we had different breakfasts and things and - when did he - we decided that we wanted somebody local that was a good man with a good reputation, a businessman, well known in the community, and Jim being an independent and had all the credentials of being a governor, Ray Geiger, Malcolm Philbrick, Bill Bonds, I can go on, myself, Bill Toohey, a number of us got him to run . And in those days, none of us were experienced politicians. we were all looking for the best candidate that we thought would best serve the state of Maine, and we wanted somebody local. So we got Jim to run , and they said, okay, where are you going to be best suited, and we all thought we would like different parts of whatever we were doing, so I ended up being, getting volunteers and raising money in three different counties, Androscoggin County, Kennebec County, up in the Norway area. and the Augusta area, and Lisbon, Lisbon Falls, Durham, I was very fortunate - and New Gloucester - to get some good people that would say yes, and they volunteered to go out and knock on doors and help me raise money, and like the old saying goes, if you don't do it, why, it won't get done. So Jim used to say, do it your way, so I did what I did my way and we were successful and helped get Jim elected."
"AL:","What was that election like in terms of, you probably saw George Mitchell also running, and I'm blanking on the name of the name of the Republican candidate, was it Jim Erwin?"
"JR:","Jim Erwin, yes."
"AL:","How did they, I mean I know you supported Longley, how did the others match up?"
