"person","text"
"(Interviewer:","Andrea L'Hommedieu) November 21 , 2008 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project. The date is November 21st, 2008, and we're at Museum L-A, in Lewiston, Maine. This is Andrea L'Hommedieu, and today we're interviewing Real Roy. Real, where and when were you born?"
"RR:","I was born on Dow Avenue in Lewiston, Maine, in 1941 ."
"AL:","On what avenue?"
"RR:","Dow, D-o-w."
"AL:","Okay. In 1941."
"RR:","1941."
"AL:","And is that the area of Lewiston you grew up in?"
"RR:","Yep. I was born there, and I grew up there, I went to school there, and I went to church there, played baseball and the whole, right in the same neighborhood."
"AL:","And Dow Ave. , where is that? It's right in downtown Lewiston , isn't it?"
"RR:","You know where Sabattus Street is?"
"AL:","Yes."
"RR:","You know where Lambert's Market was?"
"AL:","Yes."
"RR:","Well, Lambert's market and Dow Avenue were, Lambert's Market was this way, and Dow went this way. So anybody that wanted to go buy food , went to Lambert's market. We got everything. We got the food there, we got hardware there. We had everything we wanted there. Very nice man to deal with ."
"AL:","And you didn't have to go far. Did your parents have a car at that time, when you were real young?"
"RR:","The first car that I remember my father having was a 1948 Packard . He loved it. But for some reason , the Packard developed some problems and he had to get rid of it. He started looking around for another car, and the finances were not there to pay for the car, so we had to go by bus, or walk to the corner and go by bus. And then, the next car I can remember he had, which was his pride and joy, was a 1965 Chrysler. Loved that car. Family car, we were twelve in the family, we all fit in the same car to go to church."
"AL:","No way."
"RR:","Yeah. We loved it. I learned to drive the car, and by the time I was eighteen, he spotted something that I did to the car, and he told my brother, he says, I think your brothers are ready to earn their drivers license, get their drivers license. And I says, okay. So he called them up one night, he says, would you come over, I'd like to help, I'd like to ask you a few questions. He says, two of the boys are ready to get their drivers license, would you show them how to do it. He says, I'd love it. I says, okay. So I got in, the first thing he told me, watch what I do and listen to what I say, and you 'll never get into an accident. So I did. I had my eyes all, this big . Luckily, today, I've been driving since I was nineteen years old, I've had two accidents that were my fault. Very minor stuff. I love to drive the car."
"AL:","Just like your dad ."
"RR:","Just like my dad. And we used to, every Saturday night, or Sunday afternoon, if we wanted to go out socializing, we had to go say, Dad, can I borrow the car for the evening. And he would tell us, remember the car takes gas, so if you want to go out, make sure you get gas in the car. So I did that two or three times, and then I started getting a little bit, you know, I says, I got wiser, I says, well I'm not going to do this too much more often . So when I reached twenty-one, the legal age to buy a car, I got my own vehicle. So when I bought the vehicle, the car in the driveway, my mother was all shook up. She says, there's a strange car in the driveway. He says, well, let him come in . So I walked in the house, she says, whose car is that. I says, mine. She says, how can you afford that. I says, I'm working, and I just went down the credit union, I made a loan, and the car is mine. Well, she says, now that you have your own car, we won 't be able to have you go out on Sunday drives with us. I says, don't worry about that. If you need a driver Sundays, I'll volunteer. So most Sundays, my car stayed in the driveway. I used to take my father's car. He would love to drive up to Augusta, and then he'd say, you take the wheel. When I got there one day, he says, you take the wheel, I was stunned. I looked at him, I says, what am I supposed to do. Well, he says, you know the signs there that you see. I says, yeah. He says, if I tell you that I want to go up Belfast, he says, look at the signs, Belfast says that way, he say, take off that way. So I did . I started doing that, and one Sunday he took me down to Western Promenade. I was lost. I says, what am I supposed to do. He says, you got a tongue. I says, yeah. Use it. I says, okay. So I went out and I started asking people around. I says, I'm a little lost, I says, I'm looking to go to Lewiston . Oh, he says, you see that road there, that big number one hundred. I says, yeah . He says, take that road , it's going to go to Lewiston. I started picking up from there. I says, look at the signs and you 'll know. Most Sundays I would tell Mom, at nine o'clock in the morning, after we came back from church, I would tell her, bye bye, I'm going for a drive, where, I don't know. I'm going to explore. I came back home once, she says, can we expect you for supper. Supper, at that time, was dinner for today's folks. I says, if I'm not here by four o'clock, forget me, I'm won't be home for supper. So I was in Mechanic Falls at four, and I made it on purpose to go by at four o'clock, stop, eat supper so I could be free , you know, do what I want. So things started that way. And then, we started going around here and there. We started socializing. I went to the Jake Harris Club. We started going to five , six different (unintelligible) groups. There was about, there was a group back in the eighties, we were about eight (unintelligible) in the group."
"AL:","And when you say, we, do you mean shoe workers?"
