"person","text"
"(Interviewer:","Andrea L'Hommedieu) December 10, 2008 Andrea L'Hommedieu: This is an interview for the Brick Makers Oral History Project at Museum L-A. The date is December 10, 2008, and I'm at the Olin Arts Center at Bates College with Anthony Shostak, and this is Andrea L'Hommedieu. Anthony, could you start just by giving me your full name? Anthony Shostak: It's Anthony J. Shostak, Anthony Joseph Shostak."
"AL:","And how do you spell Shostak?"
"AS:","S-H-0-S-T-A-K."
"AL:","And where and when were you born?"
"AS:","I was born here in Lewiston in 1967, August 6, at St. Mary's Hospital."
"AL:","And is this the community in which you grew up?"
"AS:","I grew up two blocks from here. I grew up on White Street, number 26."
"AL:","And your parents, what were their names?"
"AS:","Stanley and Theresa Shostak."
"AL:","And what did they do, what were their occupations?"
"AS:","My father, they were originally from Nashua, New Hampshire. My father worked in the shoe industry there. He was middle management. His company moved him to Lewiston in 1966 and then the shoe industry shortly thereafter went downhill. So for most of my life, my father was actually unemployed. He held several short-term jobs, the last of which, I think, was with the U.S. Post Office. My mother, out of necessity, left being a homemaker, I think in probably 1974, and became a secretary and eventually became the head of print and mailing services here at Bates."
"AL:","And did you have brothers and sisters?"
"AS:","I am the last of ten children."
"AL:","Oh my. So you're the youngest."
"AS:","I am the youngest of ten, yes. And the only real Mainer of the bunch. The others were all born in New Hampshire."
"AL:","So are you a lot younger than the rest?"
"AS:","No, we're pretty evenly spread out over almost a twenty year span. So my oldest sister, I think, is 17 or 18 years older than I am, and every year or two there had to be a kid ."
"AL:","Well, interesting, so your parents really had a lot of work."
"AS:","Good typical Catholic family at the time."
"AL:","Now, growing up in Lewiston, what was it like in the 60's and 70's, well 70's and 80's."
"AS:","I remember becoming increasingly bored by Lewiston. I mean, this building didn't exist when I was growing up. A lot of the shops downtown were sort of closing down. I remember when the malls opened and that was a huge sort of something to do, but my family didn't have a reliable car, so we couldn't frequently go down to the beach or anything in the summertime. I was stuck here in Lewiston."
"AL:","So what did you do for social activities outside of school?"
"AS:","Well, luckily we grew up in a neighborhood where there were a lot of kids my age, so there was a very strong bunch of kids to play with. So I sort of remark to people today that I never see kids playing the way we did when I was growing up anymore, basically unsupervised, with a wide range of kids from, you know, four years old or three years old all the way up to fifteen, just playing kick the can or - I don't even know if kids even know how to play kick the can anymore. So there was a lot of just outside neighborhood play, or come to Bates pond and find crayfish and frogs and stuff like that, finding frog eggs and let's hatch them and things like that. So we found things to do, and generally stayed out of trouble because there was a gentleman on our street who was the alderman or our whatever here in Lewiston, so if we ever started to do anything that was a little, you know, like building canons or things like that, the police showed up pretty quickly. And you know, in those days the police actually, I remember the police walking through the neighborhood, so it was all a very, very different kind of city then. I think it was a lot friendlier to little kids. We went to the library a lot. The library was a great source and within, you know, I could walk down there with an older sibling and go down there and back in an afternoon, so that was pretty fun."
"AL:","Now at what point did you become involved with brick making?"
"AS:","It was the summer that I graduated from high school. My next oldest brother and I, Matthew, were both looking for jobs. He was currently studying at Notre Dame and I was trying to save money to go to art school and we needed summer jobs. And we weren't having very much luck, so I just happened to be dropping off, I forget what it was, it might have been a jacket or something for one of my friends at his house, Rick Veilleux, and he lived out on Old Greene Road, and his dad answered the door and he asked what we were doing for the summer. We told him we didn't have any plans yet and he said , you know, I just heard that Moore-Lachance is hiring people, so get out there. So that very, as soon as we finished that little conversation, he and I drove over to the Moore-Lachance Brickyard and basically said, you know, we heard you guys were looking for help and they signed us up to be brick strippers, which sounds pretty glamorous, but it was actually a great job because we made a pretty good wage compared to other things that were available. I had another job working at the local movie theater, the Northwood Twin, which doesn't exist anymore, and you know, I made a lot more money making bricks."
"AL:","Now what is a brick stripper?"
"AS:","As brick strippers, we stripped pallets that had air-dried bricks on them waiting to be baked in the kiln, so they would be delivered to a shed that was roofed , an outdoor shed roofed in tin, with a conveyer belt running from the shed down to a lower area. And the brick strippers would go through these bricks. These huge pallets were delivered by forklift and we would go through, I think there was probably six or eight stacks of pallets and they were, I forget how many deep they were, maybe three or four or five stack deep, and there were these pretty heavy raw bricks that were just kind of air-dried , and we would have to insert our fingers between the bricks, push the bricks together, sort of flip them out with our fingers, catch them and then put them on a conveyor belt. They all had to be turned the same way, so the bottom had to be facing down the belt, and you know, it was piecework. I forget exactly how much we made. It was a ridiculously tiny amount per brick when you thought, I'm only getting this per brick, but we must have moved thousands and thousands of these things a day apiece. I think there were four of us in the shed, and there were another four guys down at the other end of the conveyer belt and those guys would pick up the bricks at their end and they would stack them with this elaborate system that would allow the air to really sort of travel through this big cube, it was kind of an open cube, so that the bricks would dry efficiently in the kiln. And then I think that they were then allowed to air dry a little bit more."
"AL:","And so they were stacking them a certain way so that the air would circulate."
"AS:","That's right. So these were open cubes and they, specifically so that when they were put in the kiln they would dry pretty efficiently. And I think after they were stacked is where they were then allowed to dry a little longer. In fact, I think that, you know, in the summer time I think we were basically trying to make the rest of this very long supply of bricks that could last the factory through the winter, because I'm not sure if they could have done the actual molding of the bricks in freezing temperatures. I honestly don't remember and wasn't trained in those other aspects of the job, so I'm not really sure."
"AL:","Now this was the mid eighties."
"AS:","This was 1986."
"AL:","Eighty-six, and so were the kilns oil-fired by then, or were they still fueled by wood?"
"AS:","I don't know. I don't know."
"AL:","I wondered if that technology had -"
"AS:","Yeah, I don't know. I don't remember seeing huge stacks of cordwood or anything, so maybe they had already made the transition to oil. Not what I needed to know. Really, it was so loud you couldn't really talk to anybody anyway. Once the conveyer started, you know, you were just in your own head or shouting at somebody to be heard."
"AL:","And so how many hours a day would you work that?"
"AS:","It was usually about eight. Sometimes there were special orders and they would ask for voluntary overtime, but that didn't happen all that much with us. I think there were a couple of other guys who were much more willing to do the extra overtime, so I didn't do that very often. I had another job to get to for the evening, so it wasn't like I could do that, but I think we started at seven o'clock in the morning, it could have been six-thirty but I think it was seven, and we went until three-thirty or something like that."
"AL:","And you just got as many bricks through there as you could because you got paid by the brick."
"AS:","Yes. There were occasionally periods of down time when the conveyer would break or for some sort of mechanical reason we had to stop, but generally we just whizzed as fast as we could. And there was sometimes tension between the strippers and the guys who were actually building those cubes, because that was a little bit more intricate work than what we were doing, so we kind of had to time our - it was not efficient to move absolutely as fast as you could because you would then outstrip the other guy's ability to actually get these cubes made, and if you stopped the conveyer, it was actually less efficient than just keeping a somewhat slower but steadier stream. Although sometimes we would do it intentionally just because we wanted a break. This was a summer, if I remember right, I mean we just had heat wave after heat wave, and you're under this metal roof and it's dusty, you know. It was just unbelievably hot work and very physical. The first day that we got there, the foreman , I think his name was Turcotte, he sort of introduced us to the job and he told the whole - you know, we were all college kids. That's not true. There were a couple of guys who weren't, but they were about the same age as us. And he said okay, now this is what you're going to do, and tonight- I can still remember his words- he says, you will experience extreme physical discomfort. Do not quit. Come back tomorrow. Tomorrow you will experience extreme physical discomfort worse than today. Don't quit. If you can stick it out for three or four days, you'll be fine . He gave everybody a tube of BenGay to go home with that night and he was right, it was really, you discovered muscles you just didn't know that you had. I remember collapsing. I got home and I just collapsed and fell asleep as soon as I had eaten dinner. And there were a couple of guys who just, they couldn't do it. They just couldn't hack it. One guy wound up, he wound up working the forklift for the rest of the summer and I think a couple of other guys just- this is ridiculous, I'll get a job somewhere else."
"AL:","Now was that the only summer you worked there, or did you come back other years?"
"AS:","That was the single summer. Despite the fact that it was reasonably lucrative, it was a painful job and a very unpleasant one in terms of, you know, it was just hot and dusty and thirsty and just really loud. So I had the opportunity to do other work that was similar. I worked for an electrician, so it was probably more deadly, although I really didn't think about that at the time. Although I didn't get fatalgrams with my paycheck as I did at the brickyard, which was sort of an amusing thing to me. Here's your paycheck and here's a story of how somebody got killed on the job- not necessarily at the factory, but I think it was a program, I'm sure their insurance company said, you know, we'll give you a break if you put fatalgrams in your paychecks. So stories of people working on forklifts underneath a load and things like that. But it was a neat experience."
