"person","text"
"(Interviewer:","Andrea L'Hommedieu) March 9, 2006 Andrea L'Hommedieu: This is an interview with Ray St. Pierre at his home on Montello Street in Lewiston on March 9th, the year 2006, and this is for the Mill Workers Oral History project, and this is Andrea L’Hommedieu. Could I start just by having you give me your full name? Ray St. Pierre: Raymond A. St. Pierre."
"AL:","And where were you born?"
"RS:","In Lewiston."
"AL:","And your birthdate?"
"RS:","It’s May 26, I was born in 1928."
"AL:","And were your parents both from Lewiston?"
"RS:","Yes, they were both from Lewiston."
"AL:","And what were their names?"
"RS:","My father’s name was Philip St. Pierre, and my mother’s name was Gloria. Her maiden name was Gloria Levesque."
"AL:","So what did they do for work?"
"RS:","My dad was a meat cutter for a local grocery store, and he then during the war went to work at Pepperill as a dyer. And then went into business, the family business and remained there until he retired."
"AL:","And what was it like growing up in Lewiston in the ‘30s and the ‘40s?"
"RS:","Entirely different from what it is today."
"AL:","In what ways?"
"RS:","Well, of course at the time that I was growing up it was during the Depression and, you know, it was tough for the family, you know. I can remember going out and selling pot holders that my mother made, and selling vegetables that were given us by welfare people, you know, and little things like that."
"AL:","Did it help at all that your dad worked at a grocery store at that time?"
"RS:","Well, it did in a way. He was able to get groceries, but the pay was so minimal at that time that oftentimes he’d come home with no money left after he got paid, you know, because he had spent it all on the groceries. But once he moved to Pepperill that was entirely different, during the war. They was getting good wages and, you know, we started to get a lot of little things that we missed out on. 1 But as a family we were very, very close. And little things, you know, to us were kind of like a big deal. I can remember going out to the movies, probably once a month or so, they would buy us big quarts of orangeade with Ritz crackers, and that was a big treat for us. And that Dad used to make ice cream on Sundays which was, you know, practically every Sunday he’d make some ice cream in the morning, at home. So that, you know, things like that. And we were a very close family."
"AL:","Did you have brothers and sisters?"
"RS:","Yeah, I have, we were eight in the family including my father and mother. And I have two sisters, and two brothers, all very successful. My brother Jean, the second oldest, was president of the People’s Heritage Bank, and my other brother Phil was in the family business with my dad."
"AL:","And what was the family business?"
"RS:","Victor News."
"AL:","Oh, okay."
"RS:","And I worked there after I got through high school, when I graduated in 1947, and I worked there for three years in the family business. And then I left to go in the service, in the Korean War, and I was in the service for two years and when I came back I went back into the family business for a short time. But my girlfriend then, who’s my current wife, was also, her dad was also in the same type of business, a confectionary store. They made ice cream and candy and things like that, and she was fed up with working like seven days a week, so she kind of, you know, tried to steer me to something better for myself. And she finally talked me into going to college, and so I went to Bentley’s in Boston for two years to learn accounting. And then from college I came back here, because of my wife, we were still going out, and that’s when I started working at Bates, after college, right after college."
"AL:","And what year was that?"
"RS:","That was in 1955. And it’s funny, I really didn’t want to work at Bates because the textile industry seemed to be, you know, in a lull and was not a growing industry locally as it had been in the past. But I needed experience. In those days, I mean, you can come out of college and if you didn’t have experience you still had trouble finding a job. So I thought, well, gee, here’s an offer, I can get experience, I’ll go work there for a year, and then I’ll find something else. Well, it ended up that was it for me, you know, it became a career."
"AL:","So what was it like doing the accounting at the mill?"
"RS:","Well, it was, when I first started working at the mill, it was kind of odd in a way because they were so backwards. I mean, the accounting at the mill was all done manually with pen and ink, you know, and we had these big ledgers that we worked with. It’s not like it is today where, you know, everything is computerized. So we had like, we had one, two, three, four, about six people, each one working on a different ledger. And then once we got all, with the closing, you know, the ledgers would come together and be summarized. But we would, at that time we were doing, we were in what the division called the general office, located on Locust Street, and we did the accounting, the consolidation, for all of the divisions. The divisions would do their own closing at the end of the month, and then send all the figures to us, and then we would combine the figures and come up with a consolidated statement. And this was all done manually. And this continued for a few years, you know, and then as I, the longer I started working there, you know, I was gaining a little bit of more input as to what was being done. And then I realized that there 2 was some equipment that was being used in New York that was going to be transferred here, because we were going to start doing the accounts receivable here as opposed to New York. We had a, the main office, the selling office, was in New York. And I realized that some of that equipment could be used to do the work of the consolidation, so I started pushing in order to get that done. And we, eventually, you know, it took a couple of years but we started doing in a more or less semi computerized atmosphere, which helped in the sense that we were able to cut down on the number of people that we had working there. Some of those ledgers just disappeared and the people were given other work to do. And so, you know, that was the beginning of the computerization of Bates. And that continued on until they, at that time they were closing up some of the mills. In other words, the York Division was closed up, and that was in the early ‘60s. And the Androscoggin Mill was closed up. The Androscoggin Mill made rayon fabric, and the rayon fabric business was good during the war because they were making fabrics for parachutes so, you know, they had all the business they could handle. As opposed to the type of fabrics that York was making, they were making what they call a lawn, which is like a fabric used for ladies blouses and stuff. And at that time synthetic fabrics were coming along, and so instead of, you know, business getting better in that type of product, it was sliding because people were into no press fabrics, and they weren’t making that at the Androscoggin. So then, as we went along, they started consolidating some of the work so that they would have, well at that time there was a big crunch for drawing back and cutting down, so I was heading up the project that, working under the president at that time, who was Woodrow, Woody Lambert, at the time was president then. He had been moved into Lewiston to see what he could do about consolidating the facilities. And one of the things that he started, an austerity program. And I was in charge of drawing together some figures in order to, (unintelligible word) to see if they could cut down on some of the, you know, high salary people. So we did at that time, did a lot of cutting back."
"AL:","What period was that? Nineteen seventy?"
"RS:","That would have been in the early seventies, okay? And that was slightly after the Hill Mill had closed, the Hill Mill was in the process of closing, and the Androscoggin Mill was being closed, the Edwards was being sold."
"AL:","In Augusta."
"RS:","In Augusta, yeah. And so at that time we started working on this austerity program to cut down on overhead, and the result was that the whole accounting function was moved from the Locust Street location over into the Bates Mill, you know, and they at that time put me in charge of managing those various departments that had to do with accounting. I was in charge of the accounting, I was in charge of payroll, I was in charge of the computer operation, the accounts receivable, the accounts payable, the cotton buying, you know, all of that came under my jurisdiction."
"AL:","So you had a lot more work you were responsible for?"
"RS:","Well, not really, because most of the people that were in those departments were long time employees and they knew what they were doing so, you know, it wasn’t like I had to be there all the time. I mean, if they had a problem they’d come to me and ask me questions and they’d have me make the decisions. But this ran fairly smoothly, you know. And it did save some, a lot of work because at that time we had a fully computerized operations running in the, you know, the office that’s in front of the Bates Mill, the little office? I think the people that are operating the mill, running, are in that office now. That was our, that ended up being the final location for the computer program. And at that time we had quite a sizeable computer. 3 In those days, I mean a computer took a whole room, you know, it was so big. Now you can do the same thing, I have as much power in that little thing than they would have with that big computer. But we did put most of the accounting function on the computer, so it became, you know, a great work saver for us. We were able to do the consolidation, and of course we had a lot less work to do then because the Hill Mill was gone, and the Androscoggin, the Edwards was gone, so it was basically the Bates, just the Bates Division that was operating, and we were doing the accounting for the Bates Division actually, is what it amounted to."
"AL:","Now, when the, I know the union became active in the mills in the late forties or early fifties?"
"RS:","Yeah, I, you know, I’d be guessing, but I’d say yes, yeah."
"AL:","And did things like workers comp claims and things like that affect the accounting department?"
"RS:","It did in the sense that, see, at that time we were self, we were self-insured. I know we used to hire a firm to do all of the processing of claims for workmen’s comp, and we used to pay them, you know, a monthly fee for taking care of that. And we did this for quite some time"
"AL:","Did it become, did the amount of claims become a burden on the profits of the mill, or, I’m just wondering what effect it, if it had an effect on the operation of the mill."
"RS:","Not a big effect, no, because it, the claims pretty much scrutinized and, you know, and the firm that we had hired to work with us on that used to do some investigative work, you know, to find people that, you know, would be on claims when in effect they shouldn’t have been. I mean, people was always trying to find some way to, you know, to use the system, and it wasn’t unusual for them to, you know, to find people that were capable of doing work but were still getting claims, in which case they were processed and eliminated as far as reimbursements are concerned."
"AL:","I’ve talked to a few people who started at the mill a long time ago, and they said when they first started working they were paid in cash, and then it went to a check system. Was that during your time, or before?"
"RS:","No, that was before my time. But I had one employee that was a former Androscoggin employee, and it was his job to go get the cash for the payroll at the Androscoggin. So like once a week he used to have to go with a guard, and then go to the bank and pick up cash, you know, to pay out, to pay the employees. No, when I first, when I was working they were paying by check. And I can remember one of my first jobs was, the checking account was at Key Bank and I used to have to go to Key Bank every Wednesday morning and pick up all the cancelled checks, you know. I remember, I used to get there before the bank opened up, you know, I’d have to press a button and one of the employees used to come in and hand me the checks and, you know, off we went. The reason for us doing it was because we had to reconcile the bank account, you know, all those checks had to be reconciled and we did that at the general office."
"AL:","Now, I know there were social activities associated with the mill over the years, like hockey and softball and bowling. Did you ever participate in any of them?"
