"person","text"
"(Interviewer:","Andrea L'Hommedieu) March 13, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is Friday, March 13th, 2009, and we're at the home of Roy and Mary Tassinari , and this is Andrea L'Hommedieu . Roy and Mary, could I just start by asking you to give me your names and dates of birth?"
"RT:","Well, I'm Roy Tassinari. I will be seventy-eight in April 24, born in 1931."
"MT:","And I'm Mary Tassinari , Mary Newton Tassinari, and I was born April 17, 1931 ."
"AL:","And where did you grow up?"
"MT:","Here in Auburn."
"AL:","What were your parents' occupations?"
"MT:","My mother stayed at home. My father worked in the shoe industry. He was, wood heel maker, he was superintendent of the Minot Wood Heel Company for several years, and then from there went to work at the Lown Shoe Building for the Lown Wood Heel."
"AL:","What was the wood heel?"
"MT:","The wood heels were high heeled shoes for women. The high heels were made out of hard wood, usually maple. Your wedgies were made out of soft wood . And during that time that he was in there, they started making what they called their glass heels, which were a plastic. I'm pretty sure they called it Lucite at the time. But it was one of the first of the plastics."
"AL:","What years was that?"
"MT:","That time, well let me see, it had to be in the late thirties, early forties."
"AL:","Was that right in Auburn, you said?"
"MT:","Right, that was right in Auburn. He first of all worked in the Minot Wood Heel. That was in one of the buildings along what's now the Union Street Bypass, there were a couple of big buildings there. Then when he went to work for Lown Shoe, the Lown Wood Heel, it was in the Lown Shoe Building. )~.J~ Roy left a picture of the building back in the, well, at that time it was called the ~Sweet Building, and shoes were built in the whole big building . They were in the bottom part of it, with making the shoe counters. And my father was in the back part of the building, making the wood heels."
"AL:","And how many children were there in your family?"
"MT:","Two, my brother and I."
"AL:","Can you talk about what Auburn was like when, I mean you grew up when the shoe industry was thriving."
"MT:","It was thriving. It came in right after, or during the Depression, when my dad was in there. And from what I can remember of the late thirties and into the forties, it was a really going industry. There was an awful lot of shoes being built in the Lewiston- Auburn area."
"RT:","It was the shoe city of Maine."
"MT:","And because of that, you've got a lot of other business that come down to it. Like he wood heel part of the business. That was completely separate, actually, from the shoe itself, because if they were making wood heels, they weren 't only making them just for that company. They were making them for companies all over the country, and being shipped out. So there were a tremendous amount of wood heels being made. \ And then later, of course, the plastic ones. And with the wood heels, those all had to be covered with leather, the same leather that the shoe was made out of, so that they were the same color. That was quite an operation in itself. But when the glass heels came about, then those got kind of fancy, and they even etched them out and did all kinds of designs on them and whatever. It was fun to watch. But then of course it also, I mean that developed during the World War, Second World War, so you had that going on here in the twin cities. My father was involved in being an auxiliary fireman at the time. His father was an air-raid warden. And we did , we had air-ra id black outs and things. ~"
"AL:","What was that like?"
"MT:","It was kind of eerie, I'll tell you . There were times-"
"RT:","You had to go around , on your houses, we lived not too far from here growing up, I lived right on Cushing Place, right up here off of Western Avenue. At night time, her father would go out, during the war, and you had to be blacked out. You couldn 't have any lights going out of your windows or anything else. The street lights were off and everything. They were made so that if any plane did come over, they wouldn 't be able to see any part of the cities and stuff like that. You couldn't go out with your vehicles with the full headlights. You had to have little slits in them , almost like your military vehicles do today. But anyway, this is all back in that area, when the shoe industry was thriving too. I don't know if we want to get into the counter part of it right now, but this is what my father did. He came up from Lowell Mass, in 1934, I think I was two years old. And then we located in the Lown Shoe Building, downstairs, on the bottom floor, in the back part actually, and then it moved to the front part. During the war, it was amazing that we made these shoe counters that goes in the back part of the shoe, goes off the last. At one point, we were doing over a million pair a week. We were doing it with women because all the men had gone to war. Then of course they came back after the war, and then most of them stayed. But then we kept some of our women, and they were some of the best molders, let's put it that way, than the men were. It was ironic, but that's happening in today's world too."
"AL:","So you were born in Massachusetts."
"RT:","I was born in Haverhill, Mass, and then my folks moved to Lowell. My father was running that shoe counter factory down in Lowell, Mass., and they moved up to Maine because Maine was where the shoe industry was booming. I just talked to the owner last night, Dean Frieze ( SP?), he was the, he came into it a little bit later, but Harry Brown was the owner of Brown Counter Company in Haverhill, Mass, and this was an offspring from that counter company. And then it moved to Maine and become New England Counter. Brown Counter was still down there in Haverhill, but then New England Counter came up here to Maine and it thrived for many, many years. We made the back part of the shoe, which a lot of people don't even realize it's there. It's the part that holds your heels up onto your foot. And the shoe lasts, that many have probably seen at some point in time, they have to be fitted to these lasts with the different types of heels, and all kinds of different kinds of patterns and styles that we had. We had over four thousand styles that we had to keep making counters for. Especially the high heel end of it. I have one particular die right here that was the first counter that was made for New England Counter up in Maine, and this was presented to my father back years ago, and it had an inscription on it. That's a men's counter, by the way. That part there would go from a larger men's counter, which I don't have right here."
"MT:","That of course is the way it's cut, but then from there it has to be (unintelligible)."
"RT:","These here are put on sheets of fiberboard, which is about, almost three feet wide by five feet long, and they're only about maybe less that a quarter of an inch thick, and they come in palettes. Then these here dies are put on the sheets under a cutting machine, which comes down the with a big beam duct, Dinker cut, they call it, and it comes down and cuts those counters out. A guy that's on the machines really, it was a very, very dangerous job, because there you are, you 're holding this th ing, you're bounding on this die, up and down that sheet, like that, and that beam is coming down and cutting it off. And we have had a few guys cut their fingers off and stuff like that. Usually on the top, more so than under the bottom of the die."
"AL:","Wow, and you would think it would be under."
"RT:","Believe it or not, I would go there and pick up the finger and reattach it, the doctor would reattach it in some cases, if it wasn't too badly smashed and stuff like that. But this happened throughout the industry, not just in the counter. In the shoe industry, when they're making the shoes and stuff there, when they're putting the fastener together, there was not safety issues at that point. You would just make it, and that's what it was. These are variousl!;~ies that we had that made little inserts and cookies and stuff down like that And I also had a small counter factory. I moved up '- from Haverhill, called Tass Coun- mpany. What we did was, mainly made the - - )nserts for the arch supports for the shoes. I did this out of a little operation right here. / yve did that for a few years, and there got to be a point where I worked pretty hard doing that, and then being, I became superintendent of New England Counter Company, because my father had retired at that point."
"AL:","So you followed in your father's footsteps."
"RT:","Yup, yup. Then of course, later on in years, it steadily decreased as the machines and the whole situation started going overseas. Then of course our sales dropped off dramatically, and then eventually New England Counter was bought out by Gould and Scammon, which was our competitor. And it was a debate whether we were going to buy them out or they were going to buy us out, and it kind of went back and forth for awhile, and then they bought us out, and I went with them for five years. I was purchasing agent and quality control. After that I was gone, and then I went into retirement myself. )"
"AL:","So tell me, you grew up in Auburn."
"RT:","Yeah, we both, Mary and I both graduated from Edward Little High School in 1949, in fact we're having our sixtieth year reunion this year. We're on the committee."
"AL:","And how many brothers and sisters did you have?"
"RT:","I had one sister. She had one brother. She was, my sister was a teacher in Massachusetts. She still lives down there, actually."
"AL:","Talk to me about the Auburn community, as a community, and what it was like when you were growing up at the time?"
"RT:","Well, if you know Auburn and you know where Walmart is and that whole area, you may not remember when that was just plain Whiteholme Farm, and that's when we saw it, back in our young years, our teenage years and stuff like that. It really has boomeranged. The whole Center Street was not Center Street like you know today. It was just a plain two-way road , and that's all it was."
"MT:","In fact, you lived -."
"RT:","I lived on Center Street the first year, right there where, on the top part of KMart lot, right there. Of course that house got moved way back down . That was a terrible year. It was cold, the wind would go right through the house and everything. Then we moved to Cushing Place here in Auburn."
"MT:","But you were out of town when you were out there on Center Street."
"RT:","Yeah, you were outside."
"AL:","Was Court Street the downtown?"
"MT:","The downtown , yes. This was up here. This is all pretty old , right up in here."
"RT:","This house was built in 1858, approximately, we figure."
"MT:","But as you went up there, on the left, up there where there's all those nice new houses, in that area, that was another farm ."
"RT:","That was Merrill Haven Farm."
"MT:","That was Merrill Haven Farm, and that whole area was all farm . Of course, right over here, on the next street over here, is Merrill Hill School, and that was a little school. All of our kids went to school there. But that's now an alternative school. First of all, they closed it up and used it as a storage area for awhile. And then they made it into an alternative school for the middle school. Well , Western Avenue, that was all there when we were in school, so in the forties that was all there. That probably was built up either, probably just before the Second World War, I would say, it must have been an era in there. Maybe even just as the war was starting, that general area."
"~T:","You got to remember too that this was the shoe city in Maine, Auburn was. And ( ~i~ht across the street from Lown Shoe Building was the Smith Shoe Company, and then there was another one that, which burned . And right there where Hannaford is, right now, today, was two other shoe factories, right there in that whole lot area, right there. It was amazing , because you went out Hotel Road and there was Air Tred Shoe ) out there, and then there was BonAir, which came later on in years."
"MT:","And where Denny's is, there was a whole huge, other big building, just like the Lown Shoe Building."
"RT:","There was the Cushman Hollis Building."
"MT:","And then going Down Union Street - ."
"RT:","There was Clark Shoe. There was another one going down there."
"\___T:","~h , right there where you buy computer supplies and stuff, right there. MY:St~."
"RT:","No, not Staples, their competitor."
"MT:","What's the other one? Office Max."
"RT:","Office Max, yes, that was a big shoe factory right there. That was Clark Shoe. That burned at the very end, and of course they took it down. They used it as a storage area for a long, long time, and then it burned."
"RT:","And that's where Mary's father worked at the very end."
"MT:","At the very end he was working down there, yeah."
"RT:","But it was a big, big era for the shoe industry. And then of course, like I said, it declined and started going over seas. And then little by little they went out, or dissolved or whatever. And then the buildings got tore down,,.pne Pl, one. It's amazing that the Lown Shoe Building , which like you said, was the~ Sweet Building, way, way back, is still there today, but they've kept it and maintained it, and of course now there's the little warehouse store down at the bottom floor, stuff like that. The banks, I guess, have the top floor for storage, for records and stuff like that. But there is no more manufacturing going on. I don't know really if, I don't think there 's anything in Lewiston- Auburn area that really is doing much for manufacturing. Maybe over in the Continental Mill , over in Lewiston, which we moved to back in the late seventies, I guess it was, for a few years. I think there might be, there was two or three shoe factories in that mill at that point. I think I might be able to have more information on this stuff if we dig into it a little more. This all came up all of a sudden ."
"AL:","Yeah , well I'm trying to think, you said you started working in the shoe industry in the fifties, so you were in your twenties, and you were teenagers during World War Two. What sorts of things were you able to do as teenagers, for social things?"
