"person","text"
"(Interviewer:","Andrea L 'Hommedieu) February 21 , 2009 BRICK WORKERS ORAL HISTORY PROJECT LEWISTON-AUBURN, MAINE Andrea L'Hommedieu : This is an interview for the Brickyard Workers Oral History Project at the Museum L-A. The date is Saturday, February 21st, 2009, and I'm at Museum L-A with Jack Tetrault, and this is Andrea L'Hommedieu. Jack, could you start just by giving me your full name and making sure I pronounced your name correctly. Jack Tetrault: Very well, it's Jack Tetrault."
"AL:","And where and when were you born?"
"JT:","I was born in Lewiston, August 1941, brought up in Auburn, went to Edward Little High School, graduated from there, went into the Air Force, came back, went to college and- how much further do you want me to go?"
"AL:","Well, let's start with growing up in Auburn. What part of Auburn did you live?"
"JT:","Oh we, I was brought up in the Sacred Heart parish, Sacred Heart's right on Western Avenue in Auburn , and basically my whole childhood was spent there. Dad was a bus driver, and that's when I, as I got into high school, that's when I started working in the brickyard, which is why you are wanting to interview me right now."
"AL:","Yes. Now how many brothers and sisters-?"
"JT:","I have one brother, name's Gary, and he could tell you the same things I just told you. Being brought up in Auburn, we got to know the shoe shops but not the mills too well, there were shoe shops in Auburn, the woolen mills were in Lewiston, the Bates Mill. Growing up in the forties was, we didn't know it at the time, it was kind of unusual because that's when the Second World War was being fought. I was born six months prior to WWII breaking out, the attack on Pearl Harbor. And I remember as time went on, my dad wasn't eligible to go into the service because he was too old and he was married, but I remember he wanted to buy a car, it's always stuck in my mind, and he had to wait six months to buy the car because there wasn't any available, and he could only buy a used car because they weren 't making new ones at the time. So it's kind of interesting, when you juxtapose that with what goes on today, they got more cars than they have people."
"AL:","And was the reason of not making new cars because of the war and needing to conserve resources?"
"JT:","Yes, everything was going into the making of guns and bombs and things like that. Those were the days when women started working, they started leaving the home. All the men were in the military, and the women had to go to work in the factories. You've heard of Rosie the Riveter, that's where that got started."
"AL:","Now did your mother work outside the home at all, or not, because your dad was here?"
"JT:","She mostly stayed home, but she was a registered nurse so she worked as a nurse off and on over the years. Dad worked for L and A Transit, and he spent most of his time working. I don't remember seeing him a heck of a lot. In those days men worked two shifts or two jobs, Dad had a half a day off a week, which was Friday morning, and that's the day they went shopping. So never got to see him too much. Mom was just about everything in the family. Dad got a week's vacation every year and we got to see him then, but that was it."
"AL:","And what were their names?"
"JT:","Tony and Jeannette Tetrault."
"AL:","Were they born here, or had they come from some other-?"
"JT:","Both of them were born, Mom was born in Lewiston, Dad was born in Sabattus. I'm actually fourth generation American, my background is French but my ancestors came down from Canada quite early, and they settled in the Lewiston-Auburn area ."
"AL:","Now you attended Sacred Heart Church?"
"JT:","Sacred Heart Church."
"AL:","I understand that it originally was like a big barn."
"JT:","I have no memory of that."
"AL:","So you don't have that memory of the change."
"JT:","It always looked the way it looks today. There's a couple things that they've added to outside and they remodeled the inside, but basically it's the same chu rch I knew when I was a kid."
"AL:","Okay. Because I was told that they built the new church right in front of the old church that was this barn so that -"
"JT:","They could have, I mean that happened a lot."
"AL:","So that's probably before your-"
"JT:","Yeah, it was before my time. Holy Cross parish is another one that started out in a, kind of a barn-like affair and it just evolved. I think a lot of the churches did that."
"AL:","So what did you kids do for fun , growing up in Auburn?"
"JT:","What did we do for fun. Well, we didn't have TV, we had a radio . Spent most of our time outside. When there wasn't school, we were outside playing. And Ma didn't see us until it got dark, and she had to yell for us to come in. We were fortunate, we weren't too far from a farm, it was a, you know, even though it was in Auburn. Today that farm is nothing but houses, it was the Merrill Haven Farm, and we'd go up and chase the cows so they'd get sour milk. But we spent a lot of time at, it was called the Pinnacle back in those days, and besides chasing the cows, in the fall there was a lot of wind up there so we'd go up there and fly our kites. And when we weren't doing that, we were building tree houses and stealing apples from the neighbors, so, the ones that had apple trees. We made our own fun , you know, we didn't have the computers and the TV sets. That didn't come, the TV sets didn't come until the mid fifties, and my folks were the first ones in the neighborhood with a TV set, wh ich meant the whole neighborhood was at our house almost seven days a week. And I can remember my folks before they got the TV set, they visited some friends of theirs who they, they dad worked at Snow's over in Auburn where they sold TV sets, so they had one, they had a TV set about five years before everybody else. And we'd go up there on Friday night to watch the Friday night fights. And all the programs came out of Boston and it was very snowy, so you'd sit there for twenty minutes looking at snow and then a picture would come in and everybody would just sit up straight and look at it, ooh, look at that, it was a miracle. mean, we watched stuff that people would never watch today. It was totally boring, when I thought about it. And one of the bigger programs was Howdy Doody, Buffalo Bob and Howdy Doody, and as kids we watched that and we enjoyed it, and even the adults, just to see the picture come in. But growing up, it was the radio, that was our entertainment, other than making our own fun . I'd come home from school or the Scouts and sit down by the radio and listen to programs like Corliss Archer, the Green Hornet and the Sky King, Sgt. Preston of the Yukon. The pictures we saw were in our heads. So it was an interesting time. TV changed all of that."
"AL:","Could you hear sports on the radio, too?"
"JT:","Oh sure, yeah."
"AL:","Were the Red Sox -?"
"JT:","I'm sure, all the football games and baseball games were on the radio . Much the same as they have today, that hasn't changed. What has changed is how they present themselves, the advertising and the type of programing and so forth. But back then, that was the entertainment that we had, besides what we made up on our own. And back then families sat around the table at night, either playing cards or talking. They don't do that today. I look at my grandkids and they want cell phones and texting machines, and I don't even know what a text machine is. So along with the computers and so forth , they spend most of their time inside. It's a lot different. When I was a kid, you didn't see any fat kids, there was no obesity. Didn't have the money that people have today, I mean we would have, we didn't know it but by today's standards we were dirt poor."
"AL:","But you didn't know it."
