"person","text"
"(Interviewer:","Andrea L 'Hommedieu) January 23, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is January 23rd , 2009 , and I'm at the home of Ray Tibault and his wife Rita in New Auburn, Maine, and this is Andrea L'Hommedieu . Ray, could you just start by giving me your full name?"
"RT:","Raymond F. Tibault."
"AL:","And where and when were you born?"
"RT:","I was born in Auburn , November 1Oth, 1926."
"AL:","And did you grow up in Auburn?"
"RT:","My whole life, I've lived here in Auburn ."
"AL:","You have. And what were your parents' names?"
"RT:","My mother's name was Ida, and my father's name was Alfonse."
"AL:","And were they both from Auburn, or had they come from somewhere else?"
"RT:","My mother was born in Lewiston, in Little Canada, my father was born in (name) Canada, came here at the age of six months."
"AL:","And so, you have a strong French background."
"RT:","That's true. You can tell by my accent."
"AL:","And what did they do for work in Auburn?"
"RT:","My father, when he was old enough, he was a mill worker. Then he went into the shoe industry, and he also was barber. My mother worked also in the shoe industry."
"AL:","What did they do?"
"RT:","My mother was a fancy stitcher in the shoe industry. My father was a Goodyear stitcher, and a, what do they call it, a puller. And in the mill he was an overseer, when Barker Arm was here in New Auburn years ago, that's where he was an overseer. When that closed , that's when he went into the shoe industry."
"AL:","What companies did he work for, the shoe companies?"
"RT:","He worked mostly for Maine Shoe and Clark Shoe."
"AL:","That was at Clark, was Clark fairly big amongst the shoe shops?"
"RT:","Yeah , Maine and Clark were both big factories. And also Shapiro , he worked . My mother also worked at Shapiro. And she worked at the Venus here first, in Auburn , at the Venus."
"AL:","And what year did you say you were born?"
"RT:","Nineteen twenty-six, I'm 82."
"AL:","So were they, at the time, in 1937, were they in the shoe industry? Were they involved in the strike?"
"RT:","Oh yes, my dad was, I remember that. I was young, but I remember that. I remember the big strike."
"AL:","Do you remember how your parents dealt with that strike?"
"RT:","Well, they were out on strike, of course. If you 'd go work, you know, something would happen to your house, and they were very afraid so they stayed home."
"AL:","But that must have been hard on them economically."
"RT:","Oh yeah, it was, but my father was a barber too, so he did that, you know , he used to do barbering on Friday nights and Saturday all day. And when the strike , he did barbering all week."
"AL:","Okay, yeah, that's good . So what was it like growing up in Au burn? Was it New Auburn that you grew up in?"
"RT:","Well, New Auburn was called New Auburn after the Auburn fire in 1933. That was a big fire. This place didn't burn , but everything down below, Auburn , down, you probably never heard of that."
"AL:","No."
"RT:","The whole New Auburn, Auburn, down that end , burned down . Then when they rebuilt, everything had to be rebu ilt in the apartment house, three stories or more, had to be rebuilt in brick. That's why you see now, coming in off the South Bridge here, well the Lown Bridge now, it was, you see these brick blocks, they were built after the fire in 1936. Then we had a big flood . But I grew up in Auburn, went to school here in Auburn, went to school here at St. Louis School, and then at Walton, then E.L., and I didn't graduate from E.L, I left E.L. in my second year and went in the Navy."
"AL:","Okay, because that was during WWII. So near the end of WWII?"
"RT:","Yeah, it was in 1944, it was two and a half years. In 1946, they signed the peace In 1946, the end of '46. I was only in two and a half years, in the Navy."
"AL:","Did they send you overseas?"
