"person","text"
"(Interviewer:","Andrea L'Hommedieu) February 9, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History project. The date is February 23rd, 2006. I’m at the home of Jackie Vaillancourt at 64 Genest Street in Lewiston, and this is Andrea L’Hommedieu. Could you start just by spelling your last name for me? Jackie Vaillancourt: V-A-I-L-L-A-N-C-O-U-R-T."
"AL:","And where were you born?"
"JV:","Here."
"AL:","Right in this home?"
"JV:","Sixty-four Genest, yes."
"AL:","And have you lived here most of your life?"
"JV:","I lived in Lewiston, but not over here. I moved back over here nine years ago. When Mom passed away, she gave me the house and I’ve been here ever since."
"AL:","And when were you born?"
"JV:","July 7, 1931."
"AL:","Nineteen thirty-one?"
"JV:","Yeah, seventy-four."
"AL:","What was the Lewiston community like in the ‘30s and ‘40s while you were growing up?"
"JV:","Well, it was very quiet and peaceful, and then it started to change. And besides that, it’s okay."
"AL:","Did a lot of people do their shopping down on Lisbon Street?"
"JV:","Yes, they did."
"AL:","Including your family?"
"JV:","My family did, yes. They used to go down the street once a week to go do the groceries or to go at different stores on Lisbon Street, which was very nice then."
"AL:","And what were your parents’ names?"
"JV:","Wilfred Jalbert and Adelaide Jalbert. 1"
"AL:","And did they grow up in Lewiston, too, or -?"
"JV:","They did, yeah. Except Mom was born in Brunswick, she was born and raised by an aunt over there, then they move over here to work at the mill. And she got married here in Lewiston."
"AL:","So both your parents worked, in which mill?"
"JV:","Not my mother. My dad worked at the Cowan Mill, he used to be a boss over there. And Mom never did work."
"AL:","How many brothers and sisters?"
"JV:","I had three brothers, and two of them passed away and I got one left. My husband passed away, too."
"AL:","Did your husband work in the mill?"
"JV:","Yes, he did for a while. But then he went to work at St. Mary’s Hospital as a male nurse."
"AL:","And, now tell me about your experiences working in the mill. How old were you when you started?"
"JV:","I was sixteen years old, I went to work at the Bates Mill until I was seventeen. Then they had to let me go because the law changed, that you had to be eighteen in order to run the machinery, so they just let me go for a year. Then after, when I turned eighteen, I went to work at the Hill Mill, and I worked there for twenty-eight years as a spinner. And that was the best job that I have never had."
"AL:","What did you like about that job?"
"JV:","I liked it because it was, well, I mean sometimes we used to get worked hard, and sometimes we used to have good times. And that’s where I learned to knit and to crochet, yes, but it was nice. I liked to do the spinning job."
"AL:","Can you describe what that job is?"
"JV:","It was a big long machinery with bobbins, and big roll from top, we had to tie that together, and then it started to go around the machine, and that’s what we used to do. Sometimes we used to run about twenty-three size, and sometimes twelve, it depends the things about the cotton, if it was big or small. But yeah, I liked it there. We used to have some good times. I used to work on the third shift and I used to come home and baby sit my kids, then go back to work at night. But one year they let me go, for one year, because I went to the hospital too many times. I went to the hospital four times in one year, so they just let me go. And the plant manager called me to his office, and he said, Jackie, we’re not letting you go because you were not doing your job. You’re a good worker. But the insurance, don’t have, (unintelligible word) you for the sickness, you know, you were sick all the time and that. So they let me go for one year. The exact day after one year they called me back to go to work. But I used to like to be a spinner, yeah."
"AL:","Did you also form friendships with the people you worked with?"
"JV:","Yes."
"AL:","Can you talk about some of those?"
"JV:","Well, I used to be friends with Theresa Turgeon, and Harry Morin, and one woman especially, I remember her, she was an English woman. She wanted to learn how to talk French, so I said, I’ll show 2 you. But it was not the right word all the time, you know, so one night she got mad at the boss, she went to him and she started to talk to him in French. She said, he said, where did you learn all those words? Well, Jackie showed me. He said, I figured it would be her. But we had good times, very good times, yes. But half of them, a lot of people are dead now, yup, so. Every time I take the paper, oh, I used to work with that woman at the mill. But I worked at the Hill for twenty-eight years, and the Bates Mill for seven years."
"AL:","Did you leave the Hill Mill and then go to Bates in later years?"
