"person","text"
"(Interviewer:","Andrea L'Hommedieu) December 4, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is December 4, 2009, and I'm at Museum L-A. This is Andrea L'Hommedieu, and today I'm interviewing Roger Verreault. Is that correct? Can you say your full name?"
"RV:","My name is Roger Verreault. I was born in Lewiston."
"AL:","And what date was it?"
"RV:","December 12, 1926."
"AL:","And how do you spell your last name?"
"RV:","V-E-R-R-E-A-U-L-T."
"AL:","And you grew up in Lewiston."
"RV:","Yes, I grew up in Lewiston , I went to Lewiston High School, graduated from Lewiston High School in 1955, and went into the army for two years after."
"AL:","And what were your parents' names?"
"RV:","My parents' names was Joseph and Yvonne Verreault."
"AL:","And were they also from Lewiston, or had they come from somewhere else?"
"RV:","No, they migrated from Canada in 1919, 1920, and they raised their family here in Lewiston."
"AL:","So they were married and then came to the U.S."
"RV:","That's correct."
"AL:","And do you have stories about why they chose to come here?"
"RV:","Well my dad was working in asbestos mines and mills in Thetford Mines, Quebec. And of course, you know, asbestos is not very good , and he wanted to move out of that area because of the concerns with his health. He had an uncle here in Lewiston who had a heating and plumbing business, J . Dulac and Son , and they offered him a job. So he came here for a year, worked, and then he went back to Canada, married my mother, and then they migrated to Lewiston , where they started a family, and they lived here all their lives."
"AL:","And what did your parents do for work once they were here?"
"RV:","My dad was a plumber and my mother was a homemaker."
"AL:","And how many children where there in the family?"
"RV:","Twelve."
"AL:","You have eleven brothers and sisters."
"RV:","Yes, I'm number eleven on the list."
"AL:","Oh , you 're the young , one of the youngest ones."
"RV:","Yes."
"AL:","Can you talk about what it was like to grow up in such a large family, because people today don't hardly, rarely, have that experience?"
"RV:","Well, we settled here, we had to be a team because if we had to survive, and there was no help, no outside help, you had to do it yourself. So mom and dad always taught us to be self sufficient and take care of each other. We had our chores and jobs to do as we grew up. The older children took care of the younger ones in the morning before they went to school. My other sister was like my surrogate mother. She got me up in the morning and washed me up and dressed me and fed me breakfast and made sure I went off to school. And the same thing applied to my little brothers and sisters. At a young age we all had part time jobs, paperboy jobs, grocery clerks, things of that nature. Mother and father always worked very, very hard . They raised a good family."
"AL:","So you would make the money to come back into the family."
"RV:","Yes, every cent that was made for the children , we'd give it back home to help, and they would give us our allowance. So we learned how to be responsible, working, providing, and helping."
"AL:","What was the Lewiston community like when you were growing up?"
"RV:","Well the neighborhoods were very close knit. You knew all your neighbors. Everybody interacted together in those days. It's not like to day where you really don't know your neighbor too well. Back then we never locked doors, and it would be very common for, to get up in the morning and a neighborhood kid would be in the living room playing on the piano, that kind of thing. So, it was very friendly and people were very honest, and forthcoming . It's different then than it is today, for sure."
"AL:","What part of Lewiston did you live in?"
"RV:","On Farwell Street where the new school is now, in that part of the area ."
"AL:","So you went into the service for a couple of years."
"RV:","Yes."
"AL:","And then you came back."
"RV:","Yes, we came back and I went to work for my brother who owned a small machine shop. It was called Lewiston Machine Company. About six or eight employees, and that's how I started . Then a few years later we formed Diamond Machine, which is, today, called , Diamond Phoenix Corporation, and they're on the Alfred Ploured Parkway in Lewiston."
"AL:","So you and your brother, did you - ?"
"RV:","My brother and other brothers too. We worked together and we had a little repair shop doing different things. In the early years we made some conveyors. We even made yard forklifts for lumber yards. We used to make saw mills, portables saw mills and slab throwers. People would say, what's a slab thrower. In those days they used to cut the log to make it square, and then the outside of the log was a slab, and they used to throw it away, rather than chip it up, like they do today. And we made a machine so that when the slab came out, instead of a person peeling the slab and tearing it off, we made a machine, it was like a catapult, and we'd take a slap and throw it about a hundred feet in the are, into a pile, and then they'd build a pile, and they moved the slab thrower, or they'd turn it around and create another pile. So, things like that. And then we made a lot of repairs on all kinds of machinery. Then we got involved in the shoe industry. My brother made a few machines and conveyors for Knapp Brothers, they were here, and Clark Shoe in Auburn. Then we got interested in making shoe machinery for different applications."
"AL:","So you actually created machines that would work in certain - ?"
"RV:","Yes, we invented machines, yes."
"AL:","Oh wow."
