"person","text"
"(Interviewer:","Andrea L'Hommedieu) March 22, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. The date is March 22nd, 2006, and I’m interviewing Jean Guy Vincent at his home on Webster Street in Lewiston, Maine, and this Andrea L’Hommedieu. Could you start just by telling me your full name? Jean Guy Vincent: Jean Guy Vincent."
"AL:","I like the way you pronounce it. And what was your date of birth?"
"JV:","May 26, 1940."
"AL:","And where were you born?"
"JV:","Here in Lewiston."
"AL:","Were your parents from here as well?"
"JV:","My father was born here, my mother was born in New Brunswick, Canada."
"AL:","And what were their names?"
"JV:","Dominique and Cecile."
"AL:","And how old was your mom when she came to Maine?"
"JV:","Oh, let me see, around late 1920s. I think that was, say, about ‘25, something like that."
"AL:","So was she still a child at that time?"
"JV:","No-no, she was a graduate from Normal School in New Brunswick, that’s a teacher’s college, and she came to Rumford, Maine. She met my father who was a, working for his uncle, Vincent Bottling Company. Just a second."
"AL:","Vincent’s Sparkling Beverages? And that was in Rumford?"
"JV:","No, New Auburn. They went out in about ‘67."
"AL:","So how far did your father’s family go back in the Lewiston area?"
"JV:","Oh, I think 1860, something like that. Because I’ve got the whole thing on record, the genealogy, my sister’s doing the genealogy and I’ve got copies of everything."
"AL:","Now, did your mom speak English in the home, or French? 1"
"JV:","French."
"AL:","And your father?"
"JV:","French."
"AL:","French, so you grew up in a French household."
"JV:","French household."
"AL:","And at school, did you learn to speak English at -?"
"JV:","Yup."
"AL:","Now, what part of Lewiston did you live in?"
"JV:","I lived in New Auburn most, until 1987. Then I sold that to my niece, and I bought this one with my nephew, he lives downstairs with his friend."
"AL:","And so what was it like to grow up in Lewiston in the ‘40s and the ‘50s?"
"JV:","Well, it was mostly in New Auburn I stayed, so."
"AL:","Yeah, well, I’m sorry, you know, in this community?"
"JV:","Oh, this community here? Well for one thing, I could walk and go into any apartment on Knox and Bates, they were all clean. Today you can’t do that, you can’t even walk down there in the day time. Back then it was all different. Little Canada, there was five thousand French Canadian, ten thousand French Canadian families, and everything was clean. Very little trouble with the police. But in the late ‘60s that started changing."
"AL:","Now, how many brothers and sisters do you have?"
"JV:","One each. My sister (unintelligible phrase), she has a home in Florida, (name). She’s got an apartment in my old building that I sold to my niece, and she has a trailer in Litchfield."
"AL:","And so at what age did you start working at the mill?"
"JV:","Nineteen sixty (unintelligible word), twenty."
"AL:","You were twenty years old."
"JV:","That was really the only thing, plus Hillcrest Chickens back then, those were the two only things that they had around here, or shoe shops?"
"AL:","For jobs?"
"JV:","Or shoe shops. But I preferred the mill."
"AL:","And when you started, you started the Hill Mill?"
"JV:","Yup. 2"
"AL:","And what did you do there?"
"JV:","I picked up the reworkable waste, supplied the piece workers with what they needed to work with. I did that for ten years until they closed it in ‘69, and I moved to the Bates."
"AL:","So you worked until they closed, and how was the Hill Mill and what they did different from what the Bates Mill did?"
"JV:","The Hill Mill made cloth, they didn’t do any finishing work. They made cloth to send to other mills, other companies. Basically it was a cloth mill."
"AL:","And when you came to the Bates Mill, what was your job there?"
"JV:","That was, first one was in the picker room, opening bales, cleaning the ductwork and stuff like that. Taking material upstairs with the elevator, big rolls of what they call (unintelligible word) cotton, and we took them upstairs. They had that when I first started, they didn’t have automatic chutes to feed the system upstairs. But at the end they did."
"AL:","And then when did you go to the card room?"
"JV:","When I first started at Bates, and I worked in the card room at the Hill, too."
"AL:","And what is the card room?"
"JV:","Okay, that’s where the cotton first gets worked. It comes in the picker room, goes on cards, and then gets into big cans, then it goes into draw frames, it gets winded, then it goes into, at the, in the mill, at the Bates it went into what they called (unintelligible word) to get the big spools off, like this, spools of yarn. Then it went upstairs in the spinning mill, yarn mill. That was, they made the big warps to go on the weave room, in the weave room, you know those big warps you see in the weave room, that’s where they made that. Then they had a finishing (unintelligible word), they finished their own products at the Bates."
