"person","text"
"(Interviewer:","Andrea L 'Hommedieu) April 30, 2010 Andrea L'Hommedieu: This is an interview for the Shoe Industry Oral History Project at the Museum L-A, the date is Friday, April 30th , 2010, and I'm at the Lamey Wellehan store in Auburn , Maine with Jim Wellehan , and th is is Andrea L'Hommedieu . Jim, cou ld you start just by giving me your full name. Jim Wellehan: It is very full , it's James Francis Xavier Wellehan, and to make matters worse, there are two more just like me, my oldest son is Jim, and he's a wildlife veterinarian , teaches at the University of Florida, and poor devil enjoys being called James F. X. Wellehan , Jr., and if you Google James Francis Xavier Wellehan, you'll see more about him, he works for the CDC and all that stuff. And he's a thoughtful guy and a bright guy and he has a little boy that he called James Francis Xavier Wellehan as well, but they call him Xavier, which is a real act of kindness. Who wants to be number three, you know."
"AL:","And so your father had the same name as well?"
"JW:","No, dad was Daniel J. Wellehan. And you know, we Wellehans aren't very creative, he passed it on to my brother, who ran Sebago for years, and he was Daniel J. Wellehan, Jr., and Dan had six daughters, so when our third son was born- we hadn't wanted to intrude because an awful thing happened , this is probably not part of the interview, but for, I taught in South Africa in 1968, and Dan's wife was expecting and I waited and waited and waited and finally had to go because I had to get there. I said, well Dan , look, it's going to be a girl, I know it's going to be a girl because (unintelligible ) the first boy in the Wellehan family. And he had six daughters after that. Then Kath and I got married and had three sons. So it was a little sensitive, I didn't want to, I had called (unintelligible) and wanted to honor the name but I didn't want to, I said okay, (unintelligible) a son , we'll call him Daniel. Should we call him Daniel Joseph or do you think we should , well, why don't you change the middle name, that' ll be fine , so he's Daniel Thomas."
"AL:","That's great. Now, where and when were you born?"
"JW:","A long time ago, Lewiston , Maine, 1938."
"AL:","And so did you grow up in this area?"
"JW:","Right here. My teachers always told me I'd never go far, and I didn't."
"AL:","Now, you mentioned before we started that your dad was actually in the shoe industry, and then you came in, and your brother came in later."
"JW:","Dad started the business, Dad was born in 1888, a while ago, and he started the business in 1914. He had gone to, his dad had come up from Holyoke, Mass. when they built the railroad , and worked at the Bleachery all his life, and dad left school in the freshman year and had a job in high school, and went to work for, I can 't remember the name of the shoe company over in Auburn, he went to work in the stockroom there and so forth. And then he had a few other jobs, went to work at Peck's department store, he used to start trimming the window, he was the window trimmer and the sign painter, he'd start trimming the window, the four major seasonal trims, he'd start trimming the window on a Saturday night at ten o'clock when the door closed , keep on trimming all night long, from one end of the thing to the other, go up to St. Joseph Church to mass, and come back, keep on trimming, and he would , he'd fin ish up by about nine, ten o'clock that next night, go upstairs in the furniture department, sack out in a bed , be all ready to go to work in the morning when the store opened up on Monday morning . So after doing that, Charley Lamey was the shoe buyer at Peck's, and they were good friends. So after a few years they decided to open up their own store. Which they did , which is actually in the original, the location we have down on Lisbon Street, and so they opened the store there. And they were very happily successful from day one. Dad afterwards wound up going into the naval air force, Navy aviation, back in WWII , 1917, but he had , they were successful, the thing worked . And a few years later they, Hardy Peck, who was a very nice man, asked Dad and Charley to come back and run the shoe department. They did that, they opened a store in Rumford, opened a store in Portland, and things just developed and it was good . And then , my dad was fifty years older than I, so you grow up and you-"
"AL:","Right, he was fifty when you were born , so he'd already had this long history."
"JW:","Yeah, he was forty-four when he married , forty-five when my brother was born, and so it was, you know, you kind of expect, what am I going to do? Well destiny, and that's true, it was truer then than it is now, destiny says I'm going to be a shoe guy. So I became a shoe guy, you know. And I went to Holy Cross, and then I taught overseas for a year in Southern Africa, and after that I came back and went into the shoe business with Dad while I was waiting to go in the Army Reserves, because I figured if I was going to go in the shoe business, Dad was now in his early seventies, I said , I better give this guy a hand. So I went six months active duty, and while I was active duty I said, you know, really, if I'm going to do this, it's a tricky business, I should get a master's in business administration. Because Holy Cross, I studied economics, but it was really more about Latin and Greek and other things and philosophy than anything else, so I went down to Philadelphia, got an MBA in a year and a half, and then came back and went to work, and here I am years later. It's always been fun . And the nice thing about it, I came back to an organization where there were lots and lots of people who had been working with the company for twenty and thirty and forty years, and they were my friends, I'd known since I was a kid , it was wonderful. And the reason they lasted so long is because they were constantly moving. Putting away shoes, shoes were up on the second floor, you know, some on the first floor, some in the basement down below, it was constant exercise, constant social interchange, and they always had the feeling of making someone feel good. Now then, they might feel good because if you were five feet tall , they found just the right high heel, and now we 're fortunate, we still have a lot of people who worked for us for a long, long time, twenty, thirty years, and when you take care of people, you make them feel good, you enjoy what you do. You go home and you feel good . And so it's-"
"AL:","So tell me about what you learned from your dad in those early years when the two of you were together."
