"person","text"
"(Interviewer:","Andrea L'Hommedieu) April 10, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. Today I’m interviewing Gordon Windle at his home in Auburn, Maine. This is Andrea L’Hommedieu, and the date is April 10th, 2006. Could I start just by asking you to say your full name? Gordon Windle: Gordon Vernon Windle."
"AL:","And what’s your date of birth?"
"GW:","August 25th, 1915."
"AL:","And where were you born?"
"GW:","I was born on 93 Shawmut Street, Lewiston, Maine."
"AL:","Is that where you grew up?"
"GW:","No, second floor, front bedroom. The reason I was born there is I wanted to be near my mother. And we moved to Auburn in 1917, and I’ve lived in Auburn ever since. And just about all of my life, I’ve lived Ward One. This side of the street is Ward One. If I lived on that side of the street, it would be Ward Two."
"AL:","So what was it like growing up in Auburn during those years, especially during the Depression?"
"GW:","I love it. In other words, I can’t tell you too much about Pettingill Park. I was, I could call it born and brought up at Pettingill Park. Every kid in the neighborhood, we had four seasons there, spring, summer, fall, winter, there was something going on all the time. And we had a camp in what they call Saddleback, which was in the middle of Pettingill Park, and we called that the Robin Hood Club, and we used to use bows and arrows as little kids. So up until the time we went to high school, and even after we went to high school, we used Pettingill Park. And if anyone says they don’t have anything to do in my day, all they had to do was go down to Pettingill Park and there was something going on, whether it was baseball, football, skiing, skating, hockey, whatever, all during those early years. And on one side of Pettingill Park there were two shacks, one for boys and one for girls, which they heated with wood. Now, the wood was furnished by the city, as they cut down trees in the area they would bring it up and wood fires going all the time. Now, the Pettingill Park was lighted at night until nine o’clock, and there were strings of lights that went across the water part of Pettingill Park. And they closed at nine o’clock. When they blinked the lights, we went home. They didn’t want people hanging around raising Cain after nine o’clock. I remember the fellow that ran the Pettingill Park and had the ice cleared and all, his name was Bill Graham, and he had a German Shepherd dog that he always brought with him, so we, Bill became part of us. And the name Pettingill came from a man who donated the land at Pettingill Park, his name 1 was Pettingill and he lived right at the entrance to Pettingill Park, on Winter Street, Auburn. And that was his cow pasture, where Pettingill Park is. Probably it comprises fifteen acres or something like that. But it had a stream running through it, which was dammed. And the reason for the dam was to hold back water for Penley’s Slaughterhouse, and two or three businesses downtown. They could open the sluices and the dam and let water go downtown, wherever they needed it for power, or even for water, it was good clean water. And so as a young man and a child, it was the most wonderful thing there could be. And on Sundays, we had electric cars in those days. And when I say electric cars, I don’t mean an electric automobile. I mean trolley, electric trolley cars, used to come with loads of people from Lewiston, Auburn, everywhere, only cost ten cents to get over to Denison Street, Auburn, where the car ended and left people there to go down to Pettingill Park. And on a Sunday, there could be a hundred and fifty, two hundred people skating around Pettingill Park. In the winter of course. And in the summer we had baseball leagues, and primary school, grammar school, mostly in the lower grades. High school was played over at AAA Park, Triple A Park in Auburn. So I can’t say too much about how nice Auburn was to have a park named Pettingill Park, which operated four seasons, the year round there was something going on. What was the other thing I wanted to tell you? Oh, I went to school. First, my whole family, there were three children in our family. I have a brother that was older, I have a sister, and myself. We went to Washburn School first, from grade one to grade six. And then we went to Webster Grammar School, grade six to grade nine. Then we went to Edward Little, all three of us kids went to those three schools. And I’m talking about the old Edward Little on Main Street, Auburn. And my, we had a little hard luck in the family, so my brother quit school when he was a sophomore in high school and went to work at a summer resort, and probably earned all of twelve dollars a week. And my sister and I continued on through high school, she graduated in 1931 and I graduated in 1933. In my grammar school life, I met the love of my life, down at Webster Grammar School, and her name was Margaret Edna Cronk, spelled C-R-O-N-K. I fell in love with her when I was fourteen years old, and we went together, became married, raised a family. Sixty-five years later, I lost my wife, the love of my life. We had had three children, and we were married for fifty-seven years. So in my family we had almost everybody, not many divorces, but all of us, my brother and sister and I all had been married over fifty years. My father and mother had been married over fifty years. So we have a pretty good record of no divorces. There might have been fights, but not any divorces."
"AL:","And can you, I was going to change subjects. Did you have something else to add to what you were saying just now?"
