"person","text"
"(Interviewer:","Andrea L'Hommedieu) August 31 , 2007 Andrea L'Hommedieu: This is an interview for the Brick Makers Oral History Project, at the Museum L-A. The date is August 31st, 2007. Today I am interviewing Monte Wing, and this is Andrea L'Hommedieu. Could you start just by giving me your full name? Monte Wing: It's Almonte Jay Wing, Junior."
"AL:","And where and when were you born?"
"MW:","I was born in Leeds, Maine, in 1937, 19th of May, five nineteen."
"AL:","And did you grow up in that area?"
"MW:","Until I was fourteen, and then I came down to Auburn, and I went to work for my uncle in the woods, and then I got hurt, and met (name) , and she asked me, and so, and then I went to something else. And then I might have been sixteen or seventeen when I went to work in a brickyard. So, I started down there, and I used to, oh, I'd haul slabs for the, for the kiln, for them to burn the brick. I worked around the yard, and then eventually I went to work on the clay bank, I'd be driving a tractor. That was a good job. I used to prepare the clay for them to get ready to make the brick with. So, anyway, they used to have these big sheds, and they had these racks in them, and after they made the brick, of course the brick was wet, it was soft, so they'd keep them in there until they dried, until they got hard, so they could handle them, and then put them in a, piled them in a, in the kiln there to burn them. So, I know those, those archways under the kiln, of course they went all the way across, and they used to have these long poles and they shoved wood across in, into the archway. And I've seen guys get so hot that they'd pass right out. Oh, the heat was terrible. Oh yeah, it was unreal. And these guys, I've seen them break ice, they'd go out there in their bathing suit. Of course, there was a lot of water when they were making brick, and they couldn't wear any clothes, they'd just have a bathing suit on. I've seen them break ice out there. It was so cold."
"AL:","Now, what was the season? It was a seasonal thing, right?"
"MW:","Yes, yes, they'd done it all summer, right up to, oh, right up until cold weather. I, I don't know exactly when they stopped, but like I say, it was freezing when they 1 stopped."
"AL:","Now, did you ever have to build kilns?"
"MW:","Yeah, I used to, you handled these brick four at a time, and they had these, these, not surveys, but these belts there, what do I want to call them now. Anyway, they put the brick on the belt, and you'd get in the kiln, and they'd come up two at a time, and you piled them on, on the kiln, on top of the fire there. Of course, there wasn't any fire at the time, but they'd wait until they, until they got the thing built up, and they'd do it that way. These belts, these, I don't know, what do I want, I know, I know the name as well as I know my own, but."
"AL:","Well, if you think of it, you just say it later."
