"person","text"
"(Interviewer:","Andrea L'Hommedieu) September 13, 2010 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A The date is September 13th, 2010, in Lewiston, Maine, this is Andrea L'Hommedieu and today I'm interviewing Monique Young. Could you start just by spelling your name for me? Monique Young: My name is M-0-N-1-Q-U-E."
"AL:","And Young is?"
"MY:","Y-0-U-N-G."
"AL:","And where and when were you born?"
"MY:","I was born in New Britain, Connecticut, and I only lived down there for a year and then my mother and father moved in this area, Lewiston-Auburn , and I was raised in Lewiston-Auburn, spent part of my married life there."
"AL:","Now, tell me about your parents, what were their names?"
"MY:","My father's name was Emilien J. Montreuil, and I'll spell that for you , M-0-N-T-R- E-U-1-L, and my mother's name was Muriel Yolande Poulin, before she got married , and they were married in 1953, June of 1953."
"AL:","Were they from Lewiston-Auburn? You said you were in Connecticut for a year, was that where they grew up?"
"MY:","They went to Connecticut after they got married, because there was no work here. So they only stayed down there a year or two, and as soon as they could find work up here then they moved back up in this area, because this is where their family were."
"AL:","So they were born in Lewiston?"
"MY:","Yes."
"AL:","And how many brothers and sisters did you have?"
"MY:","I have two sisters, I have an older sister, her name is Michelle, and I have a younger sister, her name is Marilda."
"AL:","And so your parents were, what did they do for work?"
"MY:","They worked in a shoe shop, ever since I can remember they worked in a shoe shop. My father was basically a hand sewer, he used to make stitched moccasins, he actually brought home work, so he worked full time in a shop and then brought home work for the weekend, and we would help him by waxing his threads and threading them with needles so that they would be all ready for him to sew. There was always thread hanging in the living room, ready for him to sew. We all helped, even though we were little."
"AL:","Yeah, that's neat. And your mother, what did she do in the shoe shop?"
"MY:","She worked at a place called Rangeley Heel, and I was very young when she worked there, and she worked there for quite a while and she used to scour heels, and she used to actually scour the skin right off the end of her fingertips. She used to use this stuff called New Skin, she'd put that on every morning, and then she would scour. Because she had to scour right up close to the edge, and sometimes her fingers would be close and she'd scour the skin off her fingertips. And it was piece work I remember, it was piece work, so that's why she had to put something on it, because she had to keep going to work."
"AL:","And was that painful for her?"
"MY:","She was quite pained with it, but that New Skin really made a difference. It made a protective layer over the end of her fingertip to protect it. She had to apply it during her breaks and lunch. But then she had an opportunity to move on to another shoe shop and she had better work there."
"AL:","Now, when you were quite young, you said, both your parents worked in the basement of a shoe shop, can you describe where that was, if we can't think of the name?"
